L-whole/b*?/a,b*?	((a|b*?)?)*
L-yarm/b{0,2}?/b{0,2}?,a	(?:(b{0,2}?|(a))?)*
L-whole+/b{0,2}?/b{0,2}?,a	((b{0,2}?|a)?)+
L-whole02/b{0,2}?/b{0,2}?,a	((b{0,2}?|a)?){0,2}
L-whole/b*/a,b*	((a|b*)?)*
L-botharms/b*/a,b*	(?:((a)|(b*))?)*
L-xarm/b*/a,b*	(?:((a)|b*)?)*
L-yarm/b*/a,b*	(?:(a|(b*))?)*
L-whole+/b*/a,b*	((a|b*)?)+
L-whole02/b*/a,b*	((a|b*)?){0,2}
L-whole/b*/b*,a	((b*|a)?)*
L-botharms/b*/b*,a	(?:((b*)|(a))?)*
L-xarm/b*/b*,a	(?:((b*)|a)?)*
L-yarm/b*/b*,a	(?:(b*|(a))?)*
L-whole+/b*/b*,a	((b*|a)?)+
L-whole02/b*/b*,a	((b*|a)?){0,2}
L-whole/b?/a,b?	((a|b?)?)*
L-botharms/b?/a,b?	(?:((a)|(b?))?)*
L-xarm/b?/a,b?	(?:((a)|b?)?)*
L-yarm/b?/a,b?	(?:(a|(b?))?)*
L-whole+/b?/a,b?	((a|b?)?)+
L-whole02/b?/a,b?	((a|b?)?){0,2}
L-whole/b?/b?,a	((b?|a)?)*
L-botharms/b?/b?,a	(?:((b?)|(a))?)*
L-xarm/b?/b?,a	(?:((b?)|a)?)*
L-yarm/b?/b?,a	(?:(b?|(a))?)*
L-whole+/b?/b?,a	((b?|a)?)+
L-whole02/b?/b?,a	((b?|a)?){0,2}
L-whole/b{0,2}/a,b{0,2}	((a|b{0,2})?)*
L-botharms/b{0,2}/a,b{0,2}	(?:((a)|(b{0,2}))?)*
L-xarm/b{0,2}/a,b{0,2}	(?:((a)|b{0,2})?)*
L-yarm/b{0,2}/a,b{0,2}	(?:(a|(b{0,2}))?)*
L-whole+/b{0,2}/a,b{0,2}	((a|b{0,2})?)+
L-whole02/b{0,2}/a,b{0,2}	((a|b{0,2})?){0,2}
L-whole/b{0,2}/b{0,2},a	((b{0,2}|a)?)*
L-botharms/b{0,2}/b{0,2},a	(?:((b{0,2})|(a))?)*
L-xarm/b{0,2}/b{0,2},a	(?:((b{0,2})|a)?)*
L-yarm/b{0,2}/b{0,2},a	(?:(b{0,2}|(a))?)*
L-whole+/b{0,2}/b{0,2},a	((b{0,2}|a)?)+
L-whole02/b{0,2}/b{0,2},a	((b{0,2}|a)?){0,2}
L-whole/(?:b|)/a,(?:b|)	((a|(?:b|))?)*
L-botharms/(?:b|)/a,(?:b|)	(?:((a)|((?:b|)))?)*
L-xarm/(?:b|)/a,(?:b|)	(?:((a)|(?:b|))?)*
L-yarm/(?:b|)/a,(?:b|)	(?:(a|((?:b|)))?)*
L-whole+/(?:b|)/a,(?:b|)	((a|(?:b|))?)+
L-whole02/(?:b|)/a,(?:b|)	((a|(?:b|))?){0,2}
L-whole/(?:b|)/(?:b|),a	(((?:b|)|a)?)*
L-botharms/(?:b|)/(?:b|),a	(?:(((?:b|))|(a))?)*
L-xarm/(?:b|)/(?:b|),a	(?:(((?:b|))|a)?)*
L-yarm/(?:b|)/(?:b|),a	(?:((?:b|)|(a))?)*
L-whole+/(?:b|)/(?:b|),a	(((?:b|)|a)?)+
L-whole02/(?:b|)/(?:b|),a	(((?:b|)|a)?){0,2}
L-whole/(?:|b)/a,(?:|b)	((a|(?:|b))?)*
L-botharms/(?:|b)/a,(?:|b)	(?:((a)|((?:|b)))?)*
L-xarm/(?:|b)/a,(?:|b)	(?:((a)|(?:|b))?)*
L-yarm/(?:|b)/a,(?:|b)	(?:(a|((?:|b)))?)*
L-whole+/(?:|b)/a,(?:|b)	((a|(?:|b))?)+
L-whole02/(?:|b)/a,(?:|b)	((a|(?:|b))?){0,2}
L-whole/(?:|b)/(?:|b),a	(((?:|b)|a)?)*
L-botharms/(?:|b)/(?:|b),a	(?:(((?:|b))|(a))?)*
L-xarm/(?:|b)/(?:|b),a	(?:(((?:|b))|a)?)*
L-yarm/(?:|b)/(?:|b),a	(?:((?:|b)|(a))?)*
L-whole+/(?:|b)/(?:|b),a	(((?:|b)|a)?)+
L-whole02/(?:|b)/(?:|b),a	(((?:|b)|a)?){0,2}
S-whole/b*?/a,b*?	((a|b*?){0,2})*
S-botharms/b*?/a,b*?	(?:((a)|(b*?)){0,2})*
S-whole/b*?/b*?,a	((b*?|a){0,2})*
S-botharms/b*?/b*?,a	(?:((b*?)|(a)){0,2})*
S-whole/b??/a,b??	((a|b??){0,2})*
S-botharms/b??/a,b??	(?:((a)|(b??)){0,2})*
S-whole/b??/b??,a	((b??|a){0,2})*
S-botharms/b??/b??,a	(?:((b??)|(a)){0,2})*
S-whole/b{0,2}?/a,b{0,2}?	((a|b{0,2}?){0,2})*
S-botharms/b{0,2}?/a,b{0,2}?	(?:((a)|(b{0,2}?)){0,2})*
S-whole/b{0,2}?/b{0,2}?,a	((b{0,2}?|a){0,2})*
S-botharms/b{0,2}?/b{0,2}?,a	(?:((b{0,2}?)|(a)){0,2})*
S-whole/b*/a,b*	((a|b*){0,2})*
S-botharms/b*/a,b*	(?:((a)|(b*)){0,2})*
S-whole/b*/b*,a	((b*|a){0,2})*
S-botharms/b*/b*,a	(?:((b*)|(a)){0,2})*
S-whole/b?/a,b?	((a|b?){0,2})*
S-botharms/b?/a,b?	(?:((a)|(b?)){0,2})*
S-whole/b?/b?,a	((b?|a){0,2})*
S-botharms/b?/b?,a	(?:((b?)|(a)){0,2})*
S-whole/b{0,2}/a,b{0,2}	((a|b{0,2}){0,2})*
S-botharms/b{0,2}/a,b{0,2}	(?:((a)|(b{0,2})){0,2})*
S-whole/b{0,2}/b{0,2},a	((b{0,2}|a){0,2})*
S-botharms/b{0,2}/b{0,2},a	(?:((b{0,2})|(a)){0,2})*
S-whole/(?:b|)/a,(?:b|)	((a|(?:b|)){0,2})*
S-botharms/(?:b|)/a,(?:b|)	(?:((a)|((?:b|))){0,2})*
S-whole/(?:b|)/(?:b|),a	(((?:b|)|a){0,2})*
S-botharms/(?:b|)/(?:b|),a	(?:(((?:b|))|(a)){0,2})*
S-whole/(?:|b)/a,(?:|b)	((a|(?:|b)){0,2})*
S-botharms/(?:|b)/a,(?:|b)	(?:((a)|((?:|b))){0,2})*
S-whole/(?:|b)/(?:|b),a	(((?:|b)|a){0,2})*
S-botharms/(?:|b)/(?:|b),a	(?:(((?:|b))|(a)){0,2})*
W-empty-alt	(?:(?:(b)|)|(a))*
W-concat	(?:(b?|a)(b?|d))*
D-3level	(((?:(a|b*?)?)*))*
D-3level-b	(?:(((?:(a|b*?)?))*))*
D-4level	((((?:(a|b*?)?))*))*
D-sibling	(?:((?:(a|b*?)?)*)((?:(a|b?)?)*))*
R1+L-whole/b*?/a,b*?	x((a|b*?)?)*
R1+L-botharms/b*?/a,b*?	x(?:((a)|(b*?))?)*
R1+L-whole+/b*?/a,b*?	x((a|b*?)?)+
R1+L-whole02/b*?/a,b*?	x((a|b*?)?){0,2}
R1+L-whole/b*?/b*?,a	x((b*?|a)?)*
R1+L-botharms/b*?/b*?,a	x(?:((b*?)|(a))?)*
R1+L-whole+/b*?/b*?,a	x((b*?|a)?)+
R1+L-whole02/b*?/b*?,a	x((b*?|a)?){0,2}
R1+L-whole/b??/a,b??	x((a|b??)?)*
R1+L-botharms/b??/a,b??	x(?:((a)|(b??))?)*
R1+L-whole+/b??/a,b??	x((a|b??)?)+
R1+L-whole02/b??/a,b??	x((a|b??)?){0,2}
R1+L-whole/b??/b??,a	x((b??|a)?)*
R1+L-botharms/b??/b??,a	x(?:((b??)|(a))?)*
R1+L-whole+/b??/b??,a	x((b??|a)?)+
R1+L-whole02/b??/b??,a	x((b??|a)?){0,2}
R1+L-whole/b{0,2}?/a,b{0,2}?	x((a|b{0,2}?)?)*
R1+L-botharms/b{0,2}?/a,b{0,2}?	x(?:((a)|(b{0,2}?))?)*
R1+L-whole+/b{0,2}?/a,b{0,2}?	x((a|b{0,2}?)?)+
R1+L-whole02/b{0,2}?/a,b{0,2}?	x((a|b{0,2}?)?){0,2}
R1+L-whole/b{0,2}?/b{0,2}?,a	x((b{0,2}?|a)?)*
R1+L-botharms/b{0,2}?/b{0,2}?,a	x(?:((b{0,2}?)|(a))?)*
R1+L-whole+/b{0,2}?/b{0,2}?,a	x((b{0,2}?|a)?)+
R1+L-whole02/b{0,2}?/b{0,2}?,a	x((b{0,2}?|a)?){0,2}
R1+L-whole/b*/a,b*	x((a|b*)?)*
R1+L-botharms/b*/a,b*	x(?:((a)|(b*))?)*
R1+L-whole+/b*/a,b*	x((a|b*)?)+
R1+L-whole02/b*/a,b*	x((a|b*)?){0,2}
R1+L-whole/b*/b*,a	x((b*|a)?)*
R1+L-botharms/b*/b*,a	x(?:((b*)|(a))?)*
R1+L-whole+/b*/b*,a	x((b*|a)?)+
R1+L-whole02/b*/b*,a	x((b*|a)?){0,2}
R1+L-whole/b?/a,b?	x((a|b?)?)*
R1+L-botharms/b?/a,b?	x(?:((a)|(b?))?)*
R1+L-whole+/b?/a,b?	x((a|b?)?)+
R1+L-whole02/b?/a,b?	x((a|b?)?){0,2}
R1+L-whole/b?/b?,a	x((b?|a)?)*
R1+L-botharms/b?/b?,a	x(?:((b?)|(a))?)*
R1+L-whole+/b?/b?,a	x((b?|a)?)+
R1+L-whole02/b?/b?,a	x((b?|a)?){0,2}
R1+L-whole/b{0,2}/a,b{0,2}	x((a|b{0,2})?)*
R1+L-botharms/b{0,2}/a,b{0,2}	x(?:((a)|(b{0,2}))?)*
R1+L-whole+/b{0,2}/a,b{0,2}	x((a|b{0,2})?)+
R1+L-whole02/b{0,2}/a,b{0,2}	x((a|b{0,2})?){0,2}
R1+L-whole/b{0,2}/b{0,2},a	x((b{0,2}|a)?)*
R1+L-botharms/b{0,2}/b{0,2},a	x(?:((b{0,2})|(a))?)*
R1+L-whole+/b{0,2}/b{0,2},a	x((b{0,2}|a)?)+
R1+L-whole02/b{0,2}/b{0,2},a	x((b{0,2}|a)?){0,2}
R1+L-whole/(?:b|)/a,(?:b|)	x((a|(?:b|))?)*
R1+L-botharms/(?:b|)/a,(?:b|)	x(?:((a)|((?:b|)))?)*
R1+L-whole+/(?:b|)/a,(?:b|)	x((a|(?:b|))?)+
R1+L-whole02/(?:b|)/a,(?:b|)	x((a|(?:b|))?){0,2}
R1+L-whole/(?:b|)/(?:b|),a	x(((?:b|)|a)?)*
R1+L-botharms/(?:b|)/(?:b|),a	x(?:(((?:b|))|(a))?)*
R1+L-whole+/(?:b|)/(?:b|),a	x(((?:b|)|a)?)+
R1+L-whole02/(?:b|)/(?:b|),a	x(((?:b|)|a)?){0,2}
R1+L-whole/(?:|b)/a,(?:|b)	x((a|(?:|b))?)*
R1+L-botharms/(?:|b)/a,(?:|b)	x(?:((a)|((?:|b)))?)*
R1+L-whole+/(?:|b)/a,(?:|b)	x((a|(?:|b))?)+
R1+L-whole02/(?:|b)/a,(?:|b)	x((a|(?:|b))?){0,2}
R1+L-whole/(?:|b)/(?:|b),a	x(((?:|b)|a)?)*
R1+L-botharms/(?:|b)/(?:|b),a	x(?:(((?:|b))|(a))?)*
R1+L-whole+/(?:|b)/(?:|b),a	x(((?:|b)|a)?)+
R1+L-whole02/(?:|b)/(?:|b),a	x(((?:|b)|a)?){0,2}
R1+S-whole/b*?/a,b*?	x((a|b*?){0,2})*
R1+S-botharms/b*?/a,b*?	x(?:((a)|(b*?)){0,2})*
R1+S-whole/b*?/b*?,a	x((b*?|a){0,2})*
R1+S-botharms/b*?/b*?,a	x(?:((b*?)|(a)){0,2})*
R1+S-whole/b??/a,b??	x((a|b??){0,2})*
R1+S-botharms/b??/a,b??	x(?:((a)|(b??)){0,2})*
R1+S-whole/b??/b??,a	x((b??|a){0,2})*
R1+S-botharms/b??/b??,a	x(?:((b??)|(a)){0,2})*
R1+S-whole/b{0,2}?/a,b{0,2}?	x((a|b{0,2}?){0,2})*
R1+S-botharms/b{0,2}?/a,b{0,2}?	x(?:((a)|(b{0,2}?)){0,2})*
R1+S-whole/b{0,2}?/b{0,2}?,a	x((b{0,2}?|a){0,2})*
R1+S-botharms/b{0,2}?/b{0,2}?,a	x(?:((b{0,2}?)|(a)){0,2})*
R1+S-whole/b*/a,b*	x((a|b*){0,2})*
R1+S-botharms/b*/a,b*	x(?:((a)|(b*)){0,2})*
R1+S-whole/b*/b*,a	x((b*|a){0,2})*
R1+S-botharms/b*/b*,a	x(?:((b*)|(a)){0,2})*
R1+S-whole/b?/a,b?	x((a|b?){0,2})*
R1+S-botharms/b?/a,b?	x(?:((a)|(b?)){0,2})*
R1+S-whole/b?/b?,a	x((b?|a){0,2})*
R1+S-botharms/b?/b?,a	x(?:((b?)|(a)){0,2})*
R1+S-whole/b{0,2}/a,b{0,2}	x((a|b{0,2}){0,2})*
R1+S-botharms/b{0,2}/a,b{0,2}	x(?:((a)|(b{0,2})){0,2})*
R1+S-whole/b{0,2}/b{0,2},a	x((b{0,2}|a){0,2})*
R1+S-botharms/b{0,2}/b{0,2},a	x(?:((b{0,2})|(a)){0,2})*
R1+S-whole/(?:b|)/a,(?:b|)	x((a|(?:b|)){0,2})*
R1+S-botharms/(?:b|)/a,(?:b|)	x(?:((a)|((?:b|))){0,2})*
R1+S-whole/(?:b|)/(?:b|),a	x(((?:b|)|a){0,2})*
R1+S-botharms/(?:b|)/(?:b|),a	x(?:(((?:b|))|(a)){0,2})*
R1+S-whole/(?:|b)/a,(?:|b)	x((a|(?:|b)){0,2})*
R1+S-botharms/(?:|b)/a,(?:|b)	x(?:((a)|((?:|b))){0,2})*
R1+S-whole/(?:|b)/(?:|b),a	x(((?:|b)|a){0,2})*
R1+S-botharms/(?:|b)/(?:|b),a	x(?:(((?:|b))|(a)){0,2})*
R1+W-empty-alt	x(?:(?:(b)|)|(a))*
R1+W-concat	x(?:(b?|a)(b?|d))*
R2+L-whole/b*?/a,b*?	(x)((a|b*?)?)*
R2+L-botharms/b*?/a,b*?	(x)(?:((a)|(b*?))?)*
R2+L-whole+/b*?/a,b*?	(x)((a|b*?)?)+
R2+L-whole02/b*?/a,b*?	(x)((a|b*?)?){0,2}
R2+L-whole/b*?/b*?,a	(x)((b*?|a)?)*
R2+L-botharms/b*?/b*?,a	(x)(?:((b*?)|(a))?)*
R2+L-whole+/b*?/b*?,a	(x)((b*?|a)?)+
R2+L-whole02/b*?/b*?,a	(x)((b*?|a)?){0,2}
R2+L-whole/b??/a,b??	(x)((a|b??)?)*
R2+L-botharms/b??/a,b??	(x)(?:((a)|(b??))?)*
R2+L-whole+/b??/a,b??	(x)((a|b??)?)+
R2+L-whole02/b??/a,b??	(x)((a|b??)?){0,2}
R2+L-whole/b??/b??,a	(x)((b??|a)?)*
R2+L-botharms/b??/b??,a	(x)(?:((b??)|(a))?)*
R2+L-whole+/b??/b??,a	(x)((b??|a)?)+
R2+L-whole02/b??/b??,a	(x)((b??|a)?){0,2}
R2+L-whole/b{0,2}?/a,b{0,2}?	(x)((a|b{0,2}?)?)*
R2+L-botharms/b{0,2}?/a,b{0,2}?	(x)(?:((a)|(b{0,2}?))?)*
R2+L-whole+/b{0,2}?/a,b{0,2}?	(x)((a|b{0,2}?)?)+
R2+L-whole02/b{0,2}?/a,b{0,2}?	(x)((a|b{0,2}?)?){0,2}
R2+L-whole/b{0,2}?/b{0,2}?,a	(x)((b{0,2}?|a)?)*
R2+L-botharms/b{0,2}?/b{0,2}?,a	(x)(?:((b{0,2}?)|(a))?)*
R2+L-whole+/b{0,2}?/b{0,2}?,a	(x)((b{0,2}?|a)?)+
R2+L-whole02/b{0,2}?/b{0,2}?,a	(x)((b{0,2}?|a)?){0,2}
R2+L-whole/b*/a,b*	(x)((a|b*)?)*
R2+L-botharms/b*/a,b*	(x)(?:((a)|(b*))?)*
R2+L-whole+/b*/a,b*	(x)((a|b*)?)+
R2+L-whole02/b*/a,b*	(x)((a|b*)?){0,2}
R2+L-whole/b*/b*,a	(x)((b*|a)?)*
R2+L-botharms/b*/b*,a	(x)(?:((b*)|(a))?)*
R2+L-whole+/b*/b*,a	(x)((b*|a)?)+
R2+L-whole02/b*/b*,a	(x)((b*|a)?){0,2}
R2+L-whole/b?/a,b?	(x)((a|b?)?)*
R2+L-botharms/b?/a,b?	(x)(?:((a)|(b?))?)*
R2+L-whole+/b?/a,b?	(x)((a|b?)?)+
R2+L-whole02/b?/a,b?	(x)((a|b?)?){0,2}
R2+L-whole/b?/b?,a	(x)((b?|a)?)*
R2+L-botharms/b?/b?,a	(x)(?:((b?)|(a))?)*
R2+L-whole+/b?/b?,a	(x)((b?|a)?)+
R2+L-whole02/b?/b?,a	(x)((b?|a)?){0,2}
R2+L-whole/b{0,2}/a,b{0,2}	(x)((a|b{0,2})?)*
R2+L-botharms/b{0,2}/a,b{0,2}	(x)(?:((a)|(b{0,2}))?)*
R2+L-whole+/b{0,2}/a,b{0,2}	(x)((a|b{0,2})?)+
R2+L-whole02/b{0,2}/a,b{0,2}	(x)((a|b{0,2})?){0,2}
R2+L-whole/b{0,2}/b{0,2},a	(x)((b{0,2}|a)?)*
R2+L-botharms/b{0,2}/b{0,2},a	(x)(?:((b{0,2})|(a))?)*
R2+L-whole+/b{0,2}/b{0,2},a	(x)((b{0,2}|a)?)+
R2+L-whole02/b{0,2}/b{0,2},a	(x)((b{0,2}|a)?){0,2}
R2+L-whole/(?:b|)/a,(?:b|)	(x)((a|(?:b|))?)*
R2+L-botharms/(?:b|)/a,(?:b|)	(x)(?:((a)|((?:b|)))?)*
R2+L-whole+/(?:b|)/a,(?:b|)	(x)((a|(?:b|))?)+
R2+L-whole02/(?:b|)/a,(?:b|)	(x)((a|(?:b|))?){0,2}
R2+L-whole/(?:b|)/(?:b|),a	(x)(((?:b|)|a)?)*
R2+L-botharms/(?:b|)/(?:b|),a	(x)(?:(((?:b|))|(a))?)*
R2+L-whole+/(?:b|)/(?:b|),a	(x)(((?:b|)|a)?)+
R2+L-whole02/(?:b|)/(?:b|),a	(x)(((?:b|)|a)?){0,2}
R2+L-whole/(?:|b)/a,(?:|b)	(x)((a|(?:|b))?)*
R2+L-botharms/(?:|b)/a,(?:|b)	(x)(?:((a)|((?:|b)))?)*
R2+L-whole+/(?:|b)/a,(?:|b)	(x)((a|(?:|b))?)+
R2+L-whole02/(?:|b)/a,(?:|b)	(x)((a|(?:|b))?){0,2}
R2+L-whole/(?:|b)/(?:|b),a	(x)(((?:|b)|a)?)*
R2+L-botharms/(?:|b)/(?:|b),a	(x)(?:(((?:|b))|(a))?)*
R2+L-whole+/(?:|b)/(?:|b),a	(x)(((?:|b)|a)?)+
R2+L-whole02/(?:|b)/(?:|b),a	(x)(((?:|b)|a)?){0,2}
R2+S-whole/b*?/a,b*?	(x)((a|b*?){0,2})*
R2+S-botharms/b*?/a,b*?	(x)(?:((a)|(b*?)){0,2})*
R2+S-whole/b*?/b*?,a	(x)((b*?|a){0,2})*
R2+S-botharms/b*?/b*?,a	(x)(?:((b*?)|(a)){0,2})*
R2+S-whole/b??/a,b??	(x)((a|b??){0,2})*
R2+S-botharms/b??/a,b??	(x)(?:((a)|(b??)){0,2})*
R2+S-whole/b??/b??,a	(x)((b??|a){0,2})*
R2+S-botharms/b??/b??,a	(x)(?:((b??)|(a)){0,2})*
R2+S-whole/b{0,2}?/a,b{0,2}?	(x)((a|b{0,2}?){0,2})*
R2+S-botharms/b{0,2}?/a,b{0,2}?	(x)(?:((a)|(b{0,2}?)){0,2})*
R2+S-whole/b{0,2}?/b{0,2}?,a	(x)((b{0,2}?|a){0,2})*
R2+S-botharms/b{0,2}?/b{0,2}?,a	(x)(?:((b{0,2}?)|(a)){0,2})*
R2+S-whole/b*/a,b*	(x)((a|b*){0,2})*
R2+S-botharms/b*/a,b*	(x)(?:((a)|(b*)){0,2})*
R2+S-whole/b*/b*,a	(x)((b*|a){0,2})*
R2+S-botharms/b*/b*,a	(x)(?:((b*)|(a)){0,2})*
R2+S-whole/b?/a,b?	(x)((a|b?){0,2})*
R2+S-botharms/b?/a,b?	(x)(?:((a)|(b?)){0,2})*
R2+S-whole/b?/b?,a	(x)((b?|a){0,2})*
R2+S-botharms/b?/b?,a	(x)(?:((b?)|(a)){0,2})*
R2+S-whole/b{0,2}/a,b{0,2}	(x)((a|b{0,2}){0,2})*
R2+S-botharms/b{0,2}/a,b{0,2}	(x)(?:((a)|(b{0,2})){0,2})*
R2+S-whole/b{0,2}/b{0,2},a	(x)((b{0,2}|a){0,2})*
R2+S-botharms/b{0,2}/b{0,2},a	(x)(?:((b{0,2})|(a)){0,2})*
R2+S-whole/(?:b|)/a,(?:b|)	(x)((a|(?:b|)){0,2})*
R2+S-botharms/(?:b|)/a,(?:b|)	(x)(?:((a)|((?:b|))){0,2})*
R2+S-whole/(?:b|)/(?:b|),a	(x)(((?:b|)|a){0,2})*
R2+S-botharms/(?:b|)/(?:b|),a	(x)(?:(((?:b|))|(a)){0,2})*
R2+S-whole/(?:|b)/a,(?:|b)	(x)((a|(?:|b)){0,2})*
R2+S-botharms/(?:|b)/a,(?:|b)	(x)(?:((a)|((?:|b))){0,2})*
R2+S-whole/(?:|b)/(?:|b),a	(x)(((?:|b)|a){0,2})*
R2+S-botharms/(?:|b)/(?:|b),a	(x)(?:(((?:|b))|(a)){0,2})*
R2+W-empty-alt	(x)(?:(?:(b)|)|(a))*
R2+W-concat	(x)(?:(b?|a)(b?|d))*
R3+L-whole/b*?/a,b*?	xy((a|b*?)?)*
R3+L-botharms/b*?/a,b*?	xy(?:((a)|(b*?))?)*
R3+L-whole+/b*?/a,b*?	xy((a|b*?)?)+
R3+L-whole02/b*?/a,b*?	xy((a|b*?)?){0,2}
R3+L-whole/b*?/b*?,a	xy((b*?|a)?)*
R3+L-botharms/b*?/b*?,a	xy(?:((b*?)|(a))?)*
R3+L-whole+/b*?/b*?,a	xy((b*?|a)?)+
R3+L-whole02/b*?/b*?,a	xy((b*?|a)?){0,2}
R3+L-whole/b??/a,b??	xy((a|b??)?)*
R3+L-botharms/b??/a,b??	xy(?:((a)|(b??))?)*
R3+L-whole+/b??/a,b??	xy((a|b??)?)+
R3+L-whole02/b??/a,b??	xy((a|b??)?){0,2}
R3+L-whole/b??/b??,a	xy((b??|a)?)*
R3+L-botharms/b??/b??,a	xy(?:((b??)|(a))?)*
R3+L-whole+/b??/b??,a	xy((b??|a)?)+
R3+L-whole02/b??/b??,a	xy((b??|a)?){0,2}
R3+L-whole/b{0,2}?/a,b{0,2}?	xy((a|b{0,2}?)?)*
R3+L-botharms/b{0,2}?/a,b{0,2}?	xy(?:((a)|(b{0,2}?))?)*
R3+L-whole+/b{0,2}?/a,b{0,2}?	xy((a|b{0,2}?)?)+
R3+L-whole02/b{0,2}?/a,b{0,2}?	xy((a|b{0,2}?)?){0,2}
R3+L-whole/b{0,2}?/b{0,2}?,a	xy((b{0,2}?|a)?)*
R3+L-botharms/b{0,2}?/b{0,2}?,a	xy(?:((b{0,2}?)|(a))?)*
R3+L-whole+/b{0,2}?/b{0,2}?,a	xy((b{0,2}?|a)?)+
R3+L-whole02/b{0,2}?/b{0,2}?,a	xy((b{0,2}?|a)?){0,2}
R3+L-whole/b*/a,b*	xy((a|b*)?)*
R3+L-botharms/b*/a,b*	xy(?:((a)|(b*))?)*
R3+L-whole+/b*/a,b*	xy((a|b*)?)+
R3+L-whole02/b*/a,b*	xy((a|b*)?){0,2}
R3+L-whole/b*/b*,a	xy((b*|a)?)*
R3+L-botharms/b*/b*,a	xy(?:((b*)|(a))?)*
R3+L-whole+/b*/b*,a	xy((b*|a)?)+
R3+L-whole02/b*/b*,a	xy((b*|a)?){0,2}
R3+L-whole/b?/a,b?	xy((a|b?)?)*
R3+L-botharms/b?/a,b?	xy(?:((a)|(b?))?)*
R3+L-whole+/b?/a,b?	xy((a|b?)?)+
R3+L-whole02/b?/a,b?	xy((a|b?)?){0,2}
R3+L-whole/b?/b?,a	xy((b?|a)?)*
R3+L-botharms/b?/b?,a	xy(?:((b?)|(a))?)*
R3+L-whole+/b?/b?,a	xy((b?|a)?)+
R3+L-whole02/b?/b?,a	xy((b?|a)?){0,2}
R3+L-whole/b{0,2}/a,b{0,2}	xy((a|b{0,2})?)*
R3+L-botharms/b{0,2}/a,b{0,2}	xy(?:((a)|(b{0,2}))?)*
R3+L-whole+/b{0,2}/a,b{0,2}	xy((a|b{0,2})?)+
R3+L-whole02/b{0,2}/a,b{0,2}	xy((a|b{0,2})?){0,2}
R3+L-whole/b{0,2}/b{0,2},a	xy((b{0,2}|a)?)*
R3+L-botharms/b{0,2}/b{0,2},a	xy(?:((b{0,2})|(a))?)*
R3+L-whole+/b{0,2}/b{0,2},a	xy((b{0,2}|a)?)+
R3+L-whole02/b{0,2}/b{0,2},a	xy((b{0,2}|a)?){0,2}
R3+L-whole/(?:b|)/a,(?:b|)	xy((a|(?:b|))?)*
R3+L-botharms/(?:b|)/a,(?:b|)	xy(?:((a)|((?:b|)))?)*
R3+L-whole+/(?:b|)/a,(?:b|)	xy((a|(?:b|))?)+
R3+L-whole02/(?:b|)/a,(?:b|)	xy((a|(?:b|))?){0,2}
R3+L-whole/(?:b|)/(?:b|),a	xy(((?:b|)|a)?)*
R3+L-botharms/(?:b|)/(?:b|),a	xy(?:(((?:b|))|(a))?)*
R3+L-whole+/(?:b|)/(?:b|),a	xy(((?:b|)|a)?)+
R3+L-whole02/(?:b|)/(?:b|),a	xy(((?:b|)|a)?){0,2}
R3+L-whole/(?:|b)/a,(?:|b)	xy((a|(?:|b))?)*
R3+L-botharms/(?:|b)/a,(?:|b)	xy(?:((a)|((?:|b)))?)*
