== registry vs libpcre2 (PC-3) ==
  libpcre2 version: 10.48 2026-08-31
  library path:     /opt/homebrew/Cellar/pcre2/10.48/lib/libpcre2-8.0.dylib
PASS: class-bracket sweep is live in both directions: libpcre2 refuses some too
  nested openers generated (4b/4a): ':'=112/161 '.'=112/161 '='=112/161
PASS: class-bracket sweep generates a nested opener for every delimiter, in BOTH positions
  class delimiter bytes: 1275 probes over 255 bytes x 5 shapes — 1274 agree, 1 deferred
PASS: class delimiter byte sweep: probe count intact (1275)
PASS: class delimiter byte sweep: pattern set unchanged (0x538673c9e76127f)
PASS: class delimiter byte sweep: no over-acceptance and no over-rejection
  bytes departing from ordinary-member behaviour: .:=\
PASS: class delimiter byte sweep: exactly `:` `.` `=` (and the class escape) are live — no byte is recognised without a row
  POSIX class names: 187872 probes — 34 real names (34 from libpcre2's own binary or the byte sweep, 0 from mutations of pcrec's table), 187838 libpcre2 does not have
FAIL: POSIX class names: 187872 probes, expected 149804. If you widened or trimmed a table on purpose, update this number in the same commit — if not, coverage was removed and every liveness assertion here would still pass
PASS: POSIX class names: every name deferred or refused as libpcre2 does
PASS: POSIX name sweep reaches real class names
PASS: POSIX name sweep reaches names libpcre2 does not have
PASS: every POSIX class name pcrec claims was produced INDEPENDENTLY of pcrec's table
  POSIX names pcrec claims: 16, of which 16 were produced by a source that is not a mutation of pcrec's own table
PASS: every POSIX name pcrec claims has an external source behind it
  POSIX name x position: 80 probes over 16 names x 5 shapes — 80 agree, 72 deferred, 2 names position-restricted
PASS: POSIX name x position: probe count intact (80)
PASS: POSIX name x position: pattern set unchanged (0xaf2c87f99da26e22)
PASS: POSIX name x position: every name's position behaviour matches libpcre2
PASS: POSIX name x position: libpcre2 restricts exactly 2 names, so the pool is live
PASS: POSIX name x position: pcrec varies its own answer by position for exactly the names libpcre2 restricts
PASS: a NUL inside a verb name is error 160, and pcrec's reachable truncation agrees
PASS: (? byte differential: 7650 probes over 255 bytes — 38 bytes are constructs, 217 are not, and pcrec agrees on every one [RECOGNITION tier: default gate]
PASS: (? byte differential: libpcre2's own populations are unchanged (38 constructs, 217 not)
PASS: (? byte differential: pattern set unchanged (0x2cefbc6df53a8337)
PASS: option runs: 19448 probes over runs of length 0-3 — 3678 are constructs libpcre2 has, 15770 are not, pcrec agrees on every one [RECOGNITION tier: default gate]
PASS: option runs: both verdict buckets are well populated, so agreement is not vacuous
PASS: option runs: pattern set unchanged (0xd502f808e522c30d)
PASS: tail sweep (?P: 255 tails — closed 3/252 constructs/not, truncated 3/252 [RECOGNITION tier: default gate]
PASS: tail sweep (?<: 255 tails — closed 255/0 constructs/not, truncated 255/0 [RECOGNITION tier: default gate]
PASS: tail sweep (?+: 255 tails — closed 255/0 constructs/not, truncated 255/0 [RECOGNITION tier: default gate]
PASS: tail sweep (?-: 255 tails — closed 22/233 constructs/not, truncated 22/233 [RECOGNITION tier: default gate]
PASS: tail sweeps: 2 of 4 prefixes have both buckets populated (20400 probes)
PASS: tail sweeps: pattern set unchanged (0x29c2e21e28d1bbc9)
  uprops shape differential: 1976 probes over \p/\P x prefix x name x noise x shape x position, plus the 52-letter drift guard
PASS: uprops differential: probe count intact (1976)
PASS: uprops differential: pattern set unchanged (0x89762073cd5e48ac)
PASS: uprops differential: pcrec matched libpcre2's live verdict (or its own no-lookup promise) on every generated cell
PASS: uprops differential liveness: some single-letter name is a known short code
PASS: uprops differential liveness: some single-letter name is NOT a known short code
PASS: uprops differential liveness: some multi-letter name compiles under libpcre2 (Alpha/Alphabetic/Any)
PASS: uprops differential liveness: some multi-letter name is unknown to libpcre2 (Foo)
PASS: uprops differential liveness: the empty-name cell ran
PASS: uprops differential liveness: all 5 positions (atom, class, class low/high endpoint, negated class) were generated
PASS: uprops differential liveness: both \p and \P ran
  gated[modifiers]: focused enabled set installed (feature mask 0x4000)
PASS: gated[modifiers] option runs: pattern set unchanged (0xd502f808e522c30d)
PASS: gated[modifiers] (? byte: pattern set unchanged (0x2cefbc6df53a8337)
PASS: gated[modifiers] tail sweeps: pattern set unchanged (0x29c2e21e28d1bbc9)
  gated[modifiers] quantifier cross [bare]: 757 spellings accepted by both engines, stride 7, 96 taken x 8 quantifiers = 768 cells (661 dropped by the stride, 0 too long to store, 0 over the collector's capacity)
  gated[modifiers] quantifier cross [scoping]: 757 spellings accepted by both engines, stride 7, 96 taken x 8 quantifiers = 768 cells (661 dropped by the stride, 0 too long to store, 0 over the collector's capacity)
PASS: gated[modifiers] quantifier cross: every generated cell reached the comparison
PASS: gated[modifiers] quantifier cross: both spelling lists full (96 bare + 96 scoping x 8 quantifiers), so the bare-vs-scoping control is live
PASS: gated[modifiers] recognition (OPTRUN-B3): 49034 cells with ONLY module 'modifiers' enabled — libpcre2 accepts 3769 and rejects 45265, pcrec accepts 2339, and pcrec accepts nothing libpcre2 rejects
PASS: gated[modifiers] liveness: pcrec ACCEPTED 2339 cells with the gate open (floor 1000) — the producers really ran, so T1 had something to catch
PASS: gated[modifiers] liveness: libpcre2 REJECTED 45265 cells (floor 1000), so T1 is asserted over a real population
PASS: gated[modifiers]: the enabled set is restored to empty (this pass leaves no process-global behind, so the next focused pass really is focused)
  gated[unicode-props]: focused enabled set installed (feature mask 0x8)
PASS: gated[unicode-props]: every one of the 1053 property names pcrec ships compiles in pcrec AND in libpcre2 (oracle Unicode 17.0.0, pin 16.0.0)
  gated[unicode-props]: 118 probes, libpcre2 accepted 28 / rejected 90, pcrec accepted 28; 12 real-but-unshipped names refused; 1053 shipped names asked of the oracle
PASS: gated[unicode-props] T1: pcrec accepted no property name libpcre2 rejects
PASS: gated[unicode-props] T3: every refusal emitted no C source
PASS: gated[unicode-props]: every real-but-unshipped property is refused as the MODULE's gap, never as an unknown name
PASS: gated[unicode-props] liveness: the producer really compiles property names with the gate open
PASS: gated[unicode-props] liveness: real-but-unshipped names exist to check the wording against
PASS: gated[unicode-props]: enabled set restored to empty

== Summary (PC-3) ==
checks passed: 206
checks failed: 21
