# generated by gen_cases.py --seed 23 --shapes 140 --max-min-iters 60 --max-width 8
# columns: pattern | outer_min | inner_min | stride | lengths | unit | prefix | suffix
# the subject is prefix + (unit repeated, truncated to len) + suffix, so a
# length that is not a multiple of the stride is a RESIDUE case and a
# non-empty prefix SHIFTS THE LATTICE ORIGIN (R26 E2).
((?:abc){6,6}){3,39}	3	6	3	0,52,53,54,55,56,57,58,59,61	abc	zz	
([ab]{6,10}){3,36}	3	6	1	0,16,17,18,19,20,24,30,37	a		
(a{5,9}){9,14}	9	5	1	0,43,44,45,46,47,63,81,88	a		
((?:abc){10,11}){5,16}	5	10	3	0,148,149,150,151,152,153,154,155,157,165,172	abc		
(a{9,12}){6,33}	6	9	1	0,52,53,54,55,56,63,72,79	a		
((?:ab){4,7}){4,15}	4	4	2	0,30,31,32,33,34,35,44,56,63	ab		
((?:ab){5,13}){4,41}	4	5	2	0,38,39,40,41,42,43,72,104,111	ab	z	
(a{1,1}){3,10}	3	1	1	0,1,2,3,4,5,10	a		
([ab]{1,7}){5,13}	5	1	1	0,3,4,5,6,7,20,35,42	a		
((?:ab){2,3}){11,34}	11	2	2	0,42,43,44,45,46,47,55,66,73	ab	z	
(a{7,15}){7,47}	7	7	1	0,47,48,49,50,51,74,100,107	a		
(a{2,9}){1,24}	1	2	1	0,1,2,3,4,5,9,16	a		
([ab]{11,11}){5,41}	5	11	1	0,53,54,55,56,57,62	b		
([ab]{1,5}){8,45}	8	1	1	0,6,7,8,9,10,24,40,47	b		
(a{12,16}){5,36}	5	12	1	0,58,59,60,61,62,70,80,87	a		
((?:[ab][cd]){2,8}){7,19}	7	2	2	0,26,27,28,29,30,31,70,112,119	ac		
([ab]{6,6}){7,14}	7	6	1	0,40,41,42,43,44,49	b		
((?:ab){2,6}){4,17}	4	2	2	0,14,15,16,17,18,19,32,48,55	ab		
((?:abc){1,3}){7,19}	7	1	3	0,19,20,21,22,23,24,25,26,42,63,70	abc		
(a{12,20}){4,8}	4	12	1	0,46,47,48,49,50,64,80,87	a		
(a{0,2}){6,8}	6	0	1	0,1,2,6,12,19	a		
((?:[ab][cd]){10,11}){4,21}	4	10	2	0,78,79,80,81,82,83,84,88,95	ac		
([ab]{0,1}){1,13}	1	0	1	0,1,2,8	a		
(a{1,4}){3,8}	3	1	1	0,1,2,3,4,5,7,12,19	a		
(a{0,8}){11,21}	11	0	1	0,1,2,44,88,95	a		
(a{5,13}){10,40}	10	5	1	0,48,49,50,51,52,75,100,107	a		
(a{9,15}){4,24}	4	9	1	0,34,35,36,37,38,48,60,67	a		
(a{5,13}){9,41}	9	5	1	0,43,44,45,46,47,72,100,107	a		
([ab]{7,12}){2,15}	2	7	1	0,12,13,14,15,16,19,24,31	a		
((?:ab){4,7}){7,22}	7	4	2	0,54,55,56,57,58,59,77,98,105	ab		
(a{1,6}){7,47}	7	1	1	0,5,6,7,8,9,24,42,49	a		
((?:abc){11,17}){4,41}	4	11	3	0,130,131,132,133,134,135,136,137,168,204,211	abc		
([ab]{3,6}){7,14}	7	3	1	0,19,20,21,22,23,31,42,49	a		
(a{7,7}){8,25}	8	7	1	0,54,55,56,57,58,63	a		
(a{6,7}){9,23}	9	6	1	0,52,53,54,55,56,58,63,70	a		
(a{5,7}){9,33}	9	5	1	0,43,44,45,46,47,54,63,70	a		
(a{11,19}){5,15}	5	11	1	0,53,54,55,56,57,75,95,102	a		
([ab]{5,7}){3,37}	3	5	1	0,13,14,15,16,17,18,21,28	b		
([ab]{5,12}){3,28}	3	5	1	0,13,14,15,16,17,25,36,43	a		
(a{0,3}){9,36}	9	0	1	0,1,2,13,27,34	a		
([ab]{9,12}){6,15}	6	9	1	0,52,53,54,55,56,63,72,79	b		
((?:[ab][cd]){0,8}){10,40}	10	0	2	0,1,2,3,80,160,167	ac		
((?:[ab][cd]){1,2}){8,30}	8	1	2	0,14,15,16,17,18,19,24,32,39	ac	z	
((?:ab){1,4}){6,16}	6	1	2	0,10,11,12,13,14,15,30,48,55	ab	z	
((?:ab){3,3}){6,42}	6	3	2	0,34,35,36,37,38,39,43	ab	z	
((?:ab){9,12}){4,9}	4	9	2	0,70,71,72,73,74,75,84,96,103	ab		
([ab]{1,9}){2,14}	2	1	1	0,1,2,3,4,10,18,25	b		
((?:abc){8,9}){6,20}	6	8	3	0,142,143,144,145,146,147,148,149,153,162,169	abc	z	
(a{3,8}){6,14}	6	3	1	0,16,17,18,19,20,33,48,55	a		
((?:ab){1,6}){12,43}	12	1	2	0,22,23,24,25,26,27,84,144,151	ab		
((?:ab){2,8}){1,31}	1	2	2	0,2,3,4,5,6,7,10,16,23	ab		
(a{9,10}){1,20}	1	9	1	0,7,8,9,10,11,17	a		
([ab]{0,6}){3,33}	3	0	1	0,1,2,9,18,25	a		
((?:ab){12,18}){5,27}	5	12	2	0,118,119,120,121,122,123,150,180,187	ab		
((?:abc){2,8}){6,30}	6	2	3	0,34,35,36,37,38,39,40,41,90,144,151	abc		
([ab]{1,7}){3,25}	3	1	1	0,1,2,3,4,5,12,21,28	a		
((?:[ab][cd]){4,5}){4,40}	4	4	2	0,30,31,32,33,34,35,36,40,47	ac		
([ab]{10,14}){6,13}	6	10	1	0,58,59,60,61,62,72,84,91	a		
([ab]{7,11}){2,33}	2	7	1	0,12,13,14,15,16,18,22,29	b		
(a{3,10}){6,37}	6	3	1	0,16,17,18,19,20,39,60,67	a		
(a{1,4}){7,16}	7	1	1	0,5,6,7,8,9,17,28,35	a		
(a{5,13}){1,8}	1	5	1	0,3,4,5,6,7,9,13,20	a		
([ab]{9,14}){4,34}	4	9	1	0,34,35,36,37,38,46,56,63	b		
((?:ab){5,7}){4,27}	4	5	2	0,38,39,40,41,42,43,48,56,63	ab		
([ab]{4,10}){1,29}	1	4	1	0,2,3,4,5,6,7,10,17	b		
([ab]{2,2}){11,18}	11	2	1	0,20,21,22,23,24,29	b		
(a{5,8}){10,13}	10	5	1	0,48,49,50,51,52,65,80,87	a		
(a{8,13}){2,26}	2	8	1	0,14,15,16,17,18,21,26,33	a		
((?:[ab][cd]){3,6}){3,17}	3	3	2	0,16,17,18,19,20,21,27,36,43	ac		
((?:[ab][cd]){1,5}){9,25}	9	1	2	0,16,17,18,19,20,21,54,90,97	ac	z	
((?:[ab][cd]){12,12}){2,2}	2	12	2	0,46,47,48,49,50,51,55	ac	z	
((?:ab){7,12}){6,44}	6	7	2	0,82,83,84,85,86,87,114,144,151	ab		
((?:ab){0,3}){9,34}	9	0	2	0,1,2,3,27,54,61	ab	z	
(a{0,6}){7,9}	7	0	1	0,1,2,21,42,49	a		
