# literal_census.py --freq-out -- commit 1edd6c5eb643d9b3b0c559ff686c35ecfb645493 -- generated 2026-09-17 -- rows 5149
kind	literal	count	distinct_files	sample_files
STR	'0'	28	8	src/core/tune.c,src/parse/definitions.c,src/parse/mod_backrefs.c,src/parse/mod_recursion.c,src/parse/mod_verbs.c,...(+3)
NUM	16	26	10	lib/pcrec.h,src/core/internal.h,src/gen/emit_dfa.c,src/gen/emit_vm.c,src/opt/atomic.c,...(+5)
STR	')'	25	11	cli/main.c,src/parse/mod_atomic_groups.c,src/parse/mod_backrefs.c,src/parse/mod_lookaround.c,src/parse/mod_modifiers.c,...(+6)
STR	','	25	6	src/gen/enc/enc.c,src/parse/enabled.c,src/parse/parse.c,src/parse/rxt_compose.c,src/parse/rxt_source.c,...(+1)
STR	'"'	25	2	src/gen/emit_dfa.c,src/parse/rxt_source.c
NUM	6	22	6	lib/pcrec.h,src/core/compile.c,src/core/internal.h,src/opt/lower_enc.c,src/parse/axes_dump.c,...(+1)
NUM	10	21	9	cli/main.c,lib/pcrec.h,src/core/internal.h,src/gen/emit_vm.c,src/parse/mod_backrefs.c,...(+4)
STR	"}\n"	21	3	src/gen/emit_dfa.c,src/gen/enc/enc_byte.c,src/gen/enc/enc_utf8.c
STR	"?"	20	6	src/gen/emit_vm.c,src/ir/dfa.c,src/parse/definitions.c,src/parse/rxt_schema.c,src/parse/rxt_source.c,...(+1)
STR	'='	19	9	cli/main.c,src/core/compile.c,src/parse/mod_lookaround.c,src/parse/mod_recursion.c,src/parse/mod_uprops.c,...(+4)
STR	"scan_position"	19	2	src/gen/emit_dfa.c,src/gen/emit_vm.c
STR	'/'	18	4	cli/main.c,src/core/compile.c,src/gen/emit_dfa.c,src/parse/rxt_source.c
NUM	0x80	18	3	src/core/fold.c,src/opt/lower_enc.c,src/parse/parse.c
NUM	64	17	7	src/core/arena.c,src/gen/emit_dfa.c,src/gen/emit_vm.c,src/ir/dfa.c,src/ir/nfa.c,...(+2)
STR	'\0'	16	9	cli/main.c,src/core/tune.c,src/gen/emit_dfa.c,src/gen/enc/enc.c,src/parse/ext.c,...(+4)
NUM	7	16	5	cli/main.c,lib/pcrec.h,src/core/internal.h,src/parse/axes_dump.c,src/parse/rxt_source.c
STR	"}\n\n"	16	1	src/gen/emit_vm.c
STR	'*'	15	7	src/core/compile.c,src/gen/emit_dfa.c,src/parse/mod_lookaround.c,src/parse/mod_recursion.c,src/parse/parse.c,...(+2)
STR	'a'	15	5	src/parse/mod_modifiers.c,src/parse/mod_uprops.c,src/parse/mod_verbs.c,src/parse/parse.c,src/parse/registry.c
STR	'%.*s'	15	4	src/parse/enabled.c,src/parse/mod_recursion.c,src/parse/rxt_compose.c,src/parse/rxt_source.c
NUM	5	13	7	lib/pcrec.h,src/core/internal.h,src/core/tune.c,src/gen/emit_vm.c,src/opt/lower_enc.c,...(+2)
STR	'}'	13	5	src/core/compile.c,src/parse/mod_backrefs.c,src/parse/mod_uprops.c,src/parse/parse.c,src/parse/scans.c
STR	'.'	13	4	src/parse/parse.c,src/parse/registry.c,src/parse/rxt_compose.c,src/parse/rxt_source.c
STR	'<'	13	4	src/parse/mod_backrefs.c,src/parse/mod_lookaround.c,src/parse/registry.c,src/parse/rxt_source.c
STR	"        }\n"	13	2	src/gen/emit_dfa.c,src/gen/emit_vm.c
STR	"gen/enc/enc.h"	12	12	cli/main.c,src/core/compile.c,src/gen/emit_dfa.c,src/gen/emit_vm.c,src/gen/enc/enc.c,...(+7)
STR	'9'	12	6	src/core/tune.c,src/parse/mod_backrefs.c,src/parse/mod_verbs.c,src/parse/parse.c,src/parse/registry.c,...(+1)
STR	'\''	12	6	src/gen/emit_dfa.c,src/gen/emit_vm.c,src/parse/mod_backrefs.c,src/parse/mod_named_groups.c,src/parse/registry.c,...(+1)
STR	"(ptrdiff_t)scan_position"	12	1	src/gen/emit_vm.c
STR	'A'	11	6	src/gen/emit_vm.c,src/gen/enc/enc_byte.c,src/parse/mod_assertions.c,src/parse/mod_uprops.c,src/parse/parse.c,...(+1)
STR	'['	11	6	cli/main.c,src/core/compile.c,src/parse/parse.c,src/parse/registry.c,src/parse/scans.c,...(+1)
STR	'{'	11	6	src/core/compile.c,src/parse/mod_backrefs.c,src/parse/mod_uprops.c,src/parse/parse.c,src/parse/registry.c,...(+1)
NUM	9	11	5	cli/main.c,lib/pcrec.h,src/core/internal.h,src/gen/emit_vm.c,src/parse/rxt_source.c
STR	'P'	11	4	src/gen/enc/enc.c,src/parse/mod_modifiers.c,src/parse/mod_uprops.c,src/parse/registry.c
STR	"s"	11	3	cli/main.c,src/gen/emit_dfa.c,src/gen/emit_vm.c
NUM	25	11	2	lib/pcrec.h,src/parse/registry.c
STR	"%s}\n"	11	1	src/gen/emit_dfa.c
STR	"(?1)"	11	1	src/parse/registry.c
STR	"(a)(?-1)"	11	1	src/parse/registry.c
STR	'g'	11	1	src/parse/registry.c
STR	':'	10	7	src/parse/mod_modifiers.c,src/parse/mod_uprops.c,src/parse/mod_verbs.c,src/parse/parse.c,src/parse/registry.c,...(+2)
NUM	0xff	10	6	src/core/fold.c,src/ir/nfa.c,src/opt/possessify.c,src/opt/revdet.c,src/parse/parse.c,...(+1)
STR	'^'	10	5	src/parse/mod_classes.c,src/parse/mod_modifiers.c,src/parse/mod_uprops.c,src/parse/parse.c,src/parse/registry.c
STR	'+'	10	4	src/core/tune.c,src/parse/mod_backrefs.c,src/parse/parse.c,src/parse/registry.c
NUM	48	10	2	src/gen/emit_dfa.c,src/gen/emit_vm.c
STR	"denied"	10	2	src/core/compile.c,src/parse/axes_dump.c
STR	"list"	10	2	src/parse/axes_dump.c,src/parse/rxt_schema.c
STR	"mixed"	10	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
NUM	7476	10	1	src/opt/prefix_k.c
STR	"prefilter"	10	1	src/parse/axes_dump.c
STR	"parse/parse_mods.h"	9	9	src/parse/mod_atomic_groups.c,src/parse/mod_backrefs.c,src/parse/mod_lookaround.c,src/parse/mod_modifiers.c,src/parse/mod_named_groups.c,...(+4)
STR	']'	9	4	src/gen/emit_vm.c,src/parse/ext.c,src/parse/parse.c,src/parse/scans.c
NUM	160	9	3	cli/main.c,src/gen/emit_vm.c,src/parse/mod_recursion.c
NUM	0x00	9	2	src/core/fold.c,src/gen/enc/enc_utf8.c
STR	'E'	9	2	src/parse/parse.c,src/parse/registry.c
NUM	1000000ull	9	1	src/opt/prefix_k.c
STR	"err 107"	9	1	src/parse/registry.c
STR	"core/limits.def"	8	8	src/core/internal.h,src/core/limits.h,src/gen/emit_vm.c,src/parse/limits_dump.c,src/parse/mod_backrefs.c,...(+3)
STR	"missing closing ) for group"	8	7	src/parse/ext.c,src/parse/mod_atomic_groups.c,src/parse/mod_lookaround.c,src/parse/mod_modifiers.c,src/parse/mod_named_groups.c,...(+2)
STR	"vm"	8	5	cli/main.c,src/gen/emit_vm.c,src/parse/axes_dump.c,src/parse/rxt_source.c,src/parse/syntax_dump.c
STR	'?'	8	5	src/gen/emit_dfa.c,src/parse/ext.c,src/parse/parse.c,src/parse/registry.c,src/parse/syntax_dump.c
STR	'n'	8	5	src/gen/emit_dfa.c,src/parse/mod_modifiers.c,src/parse/parse.c,src/parse/registry.c,src/parse/rxt_source.c
STR	"#\n"	8	4	src/parse/axes_dump.c,src/parse/limits_dump.c,src/parse/rxt_source.c,src/parse/schema_dump.c
STR	"default"	8	4	src/core/compile.c,src/gen/emit_vm.c,src/parse/axes_dump.c,src/parse/rxt_source.c
STR	'|'	8	4	src/parse/parse.c,src/parse/registry.c,src/parse/rxt_source.c,src/parse/syntax_dump.c
STR	", "	8	3	cli/main.c,src/gen/emit_dfa.c,src/gen/emit_vm.c
STR	"     *\n"	8	1	src/gen/emit_dfa.c
STR	"  %-12d %-22s %s\n"	8	1	src/gen/emit_vm.c
STR	"pcrec: missing value for %s\n"	8	1	cli/main.c
STR	"pcrec.h"	7	7	cli/main.c,src/core/internal.h,src/parse/axes_dump.c,src/parse/limits_dump.c,src/parse/rxt_schema.c,...(+2)
NUM	0x20	7	6	src/core/fold.c,src/gen/emit_dfa.c,src/gen/emit_vm.c,src/parse/parse.c,src/parse/rxt_source.c,...(+1)
STR	'Z'	7	6	src/gen/emit_vm.c,src/gen/enc/enc_byte.c,src/parse/mod_assertions.c,src/parse/mod_uprops.c,src/parse/parse.c,...(+1)
STR	'z'	7	5	src/parse/mod_assertions.c,src/parse/mod_uprops.c,src/parse/mod_verbs.c,src/parse/parse.c,src/parse/registry.c
STR	"\\x%02x"	7	4	src/gen/emit_dfa.c,src/gen/emit_vm.c,src/parse/rxt_source.c,src/parse/syntax_dump.c
STR	'x'	7	4	src/parse/mod_modifiers.c,src/parse/parse.c,src/parse/registry.c,src/parse/rxt_source.c
STR	"-"	7	3	cli/main.c,src/gen/emit_dfa.c,src/parse/syntax_dump.c
STR	'('	7	3	src/parse/parse.c,src/parse/registry.c,src/parse/syntax_dump.c
STR	"scan-edge"	7	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	'1'	7	2	src/parse/registry.c,src/parse/rxt_source.c
STR	'Q'	7	2	src/parse/parse.c,src/parse/registry.c
STR	'\\n'	7	2	src/gen/emit_dfa.c,src/gen/emit_vm.c
STR	"            last_accept_position = scan_position;\n"	7	1	src/gen/emit_dfa.c
STR	"\n       "	7	1	src/gen/emit_dfa.c
STR	"\n    };\n"	7	1	src/gen/emit_dfa.c
STR	"greedy"	7	1	src/gen/emit_vm.c
STR	"lazy"	7	1	src/gen/emit_vm.c
STR	"table"	7	1	src/parse/axes_dump.c
STR	"*"	6	6	src/gen/emit_dfa.c,src/parse/mod_lookaround.c,src/parse/mod_recursion.c,src/parse/registry.c,src/parse/rxt_compose.c,...(+1)
NUM	40	6	4	src/gen/emit_dfa.c,src/gen/emit_vm.c,src/opt/callgraph.c,src/parse/mod_recursion.c
STR	"dfa"	6	4	cli/main.c,src/gen/emit_dfa.c,src/parse/axes_dump.c,src/parse/syntax_dump.c
STR	'r'	6	4	src/parse/mod_modifiers.c,src/parse/parse.c,src/parse/registry.c,src/parse/rxt_source.c
NUM	14	6	3	cli/main.c,lib/pcrec.h,src/core/internal.h
NUM	192	6	3	cli/main.c,src/gen/emit_vm.c,src/parse/rxt_source.c
STR	"%d"	6	3	src/gen/emit_dfa.c,src/gen/emit_vm.c,src/parse/syntax_dump.c
STR	"--engine=vm"	6	3	src/gen/emit_vm.c,src/opt/select_engine.c,src/parse/axes_dump.c
STR	'#'	6	3	src/parse/parse.c,src/parse/registry.c,src/parse/rxt_source.c
STR	"    "	6	2	src/gen/emit_dfa.c,src/gen/emit_vm.c
STR	"    {\n"	6	2	src/gen/emit_dfa.c,src/gen/emit_vm.c
STR	" */\n"	6	2	src/gen/emit_dfa.c,src/gen/emit_vm.c
STR	"subject_length"	6	2	src/gen/emit_dfa.c,src/gen/emit_vm.c
STR	"typedef struct {\n"	6	2	src/gen/emit_dfa.c,src/gen/emit_vm.c
STR	"variant"	6	2	src/parse/rxt_schema.c,src/parse/rxt_source.c
NUM	0x3F	6	1	src/opt/lower_enc.c
STR	"    %s_run_state run;\n"	6	1	src/gen/emit_vm.c
STR	"    } while (0)\n"	6	1	src/gen/emit_vm.c
STR	" %d,"	6	1	src/gen/emit_dfa.c
STR	"ext"	6	1	src/parse/rxt_source.c
STR	"scan-body"	6	1	src/parse/axes_dump.c
NUM	128	5	5	cli/main.c,src/core/compile.c,src/ir/dfa.c,src/opt/select_engine.c,src/parse/rxt_source.c
NUM	0x7f	5	4	src/core/fold.c,src/gen/emit_dfa.c,src/parse/rxt_source.c,src/parse/syntax_dump.c
NUM	24	5	4	lib/pcrec.h,src/gen/emit_dfa.c,src/gen/emit_vm.c,src/parse/enabled.c
STR	"0"	5	4	src/gen/emit_dfa.c,src/gen/emit_vm.c,src/parse/registry.c,src/parse/rxt_source.c
STR	'>'	5	4	src/parse/mod_backrefs.c,src/parse/mod_named_groups.c,src/parse/registry.c,src/parse/rxt_source.c
NUM	17	5	3	cli/main.c,lib/pcrec.h,src/core/compile.c
NUM	18	5	3	cli/main.c,lib/pcrec.h,src/opt/lower_enc.c
STR	"subject"	5	3	src/gen/emit_dfa.c,src/gen/emit_vm.c,src/parse/rxt_schema.c
STR	'S'	5	3	src/gen/enc/enc.c,src/parse/mod_modifiers.c,src/parse/registry.c
STR	'\r'	5	3	src/gen/emit_dfa.c,src/parse/parse.c,src/parse/rxt_source.c
STR	'i'	5	3	src/parse/mod_modifiers.c,src/parse/registry.c,src/parse/rxt_source.c
NUM	16777619u	5	2	src/ir/dfa.c,src/opt/minimize.c
STR	"        "	5	2	src/gen/emit_dfa.c,src/gen/emit_vm.c
STR	"provenance"	5	2	src/parse/rxt_schema.c,src/parse/rxt_source.c
STR	"search_from"	5	2	src/gen/emit_dfa.c,src/gen/emit_vm.c
STR	"subject[scan_position]"	5	2	src/gen/emit_dfa.c,src/gen/emit_vm.c
STR	'N'	5	2	src/gen/enc/enc.c,src/parse/registry.c
NUM	332	5	1	src/opt/prefix_k.c
STR	"    } while (0)\n\n"	5	1	src/gen/emit_vm.c
STR	"MRL: no room for another iteration and the follow"	5	1	src/gen/emit_vm.c
STR	"always (fallback)"	5	1	src/parse/axes_dump.c
STR	"malloc"	5	1	cli/main.c
STR	"match"	5	1	src/parse/axes_dump.c
STR	"predicate"	5	1	src/parse/axes_dump.c
STR	"search-start"	5	1	src/parse/axes_dump.c
STR	"slot_values[%d]"	5	1	src/gen/emit_vm.c
STR	"view"	5	1	src/parse/axes_dump.c
NUM	512	4	4	src/gen/emit_vm.c,src/parse/enabled.c,src/parse/rxt_source.c,src/parse/syntax_dump.c
NUM	11	4	3	cli/main.c,lib/pcrec.h,src/core/internal.h
NUM	12	4	3	lib/pcrec.h,src/core/internal.h,src/opt/lower_enc.c
NUM	15	4	3	lib/pcrec.h,src/core/arena.c,src/core/internal.h
STR	"%s%s"	4	3	cli/main.c,src/gen/emit_dfa.c,src/gen/emit_vm.c
STR	"="	4	3	src/parse/mod_lookaround.c,src/parse/registry.c,src/parse/rxt_source.c
STR	"\\n"	4	3	src/gen/emit_dfa.c,src/parse/registry.c,src/parse/rxt_source.c
STR	"count-collapsed"	4	3	src/core/compile.c,src/gen/emit_vm.c,src/parse/axes_dump.c
STR	"exact"	4	3	src/core/compile.c,src/gen/emit_vm.c,src/parse/axes_dump.c
STR	'7'	4	3	src/parse/definitions.c,src/parse/parse.c,src/parse/registry.c
STR	'f'	4	3	src/parse/parse.c,src/parse/registry.c,src/parse/rxt_source.c
NUM	127	4	2	src/gen/emit_dfa.c,src/gen/emit_vm.c
STR	"<"	4	2	src/gen/emit_dfa.c,src/parse/registry.c
STR	"\\%c requires module '%s'"	4	2	src/parse/ext.c,src/parse/mod_uprops.c
STR	"a relative reference of zero is not allowed"	4	2	src/parse/mod_backrefs.c,src/parse/mod_recursion.c
STR	"config"	4	2	src/parse/rxt_schema.c,src/parse/rxt_source.c
STR	"file"	4	2	src/parse/rxt_schema.c,src/parse/rxt_source.c
STR	"lower"	4	2	src/parse/registry.c,src/parse/syntax_dump.c
STR	"premultiplied"	4	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	"ptrdiff_t $_bref_match(const unsigned char *s, size_t n,\n"	4	2	src/gen/enc/enc_byte.c,src/gen/enc/enc_utf8.c
STR	"ptrdiff_t $_bref_match_caseless(const unsigned char *s, size_t n,\n"	4	2	src/gen/enc/enc_byte.c,src/gen/enc/enc_utf8.c
STR	"quantifier does not follow a repeatable item"	4	2	src/parse/mod_verbs.c,src/parse/parse.c
STR	"upper"	4	2	src/parse/registry.c,src/parse/syntax_dump.c
STR	"};\n"	4	2	src/gen/emit_dfa.c,src/gen/enc/enc_utf8.c
STR	'J'	4	2	src/parse/mod_modifiers.c,src/parse/registry.c
STR	'm'	4	2	src/parse/mod_modifiers.c,src/parse/registry.c
STR	's'	4	2	src/parse/mod_modifiers.c,src/parse/registry.c
NUM	1000000u	4	1	src/opt/prefix_k.c
NUM	1661	4	1	src/opt/prefix_k.c
NUM	665	4	1	src/opt/prefix_k.c
STR	"            goto *%s_targets_%d[%s_byte_class[subject[scan_position++]]];\n"	4	1	src/gen/emit_dfa.c
STR	"        run->resume_depth++;                                             \\\n"	4	1	src/gen/emit_vm.c
STR	"     */\n"	4	1	src/gen/emit_dfa.c
STR	"    static const %s %s_%s[%d] = {"	4	1	src/gen/emit_dfa.c
STR	"#define %s_VM_PREFILTER_LANG_WHY"	4	1	src/gen/emit_vm.c
STR	"%u"	4	1	src/parse/axes_dump.c
STR	"'%s')"	4	1	src/parse/rxt_source.c
STR	"(ptrdiff_t)(%s_span_cursor - %d)"	4	1	src/gen/emit_vm.c
STR	"(ptrdiff_t)run->resume_depth"	4	1	src/gen/emit_vm.c
STR	");\n"	4	1	src/gen/emit_dfa.c
STR	".h"	4	1	cli/main.c
STR	"\\%c: malformed property escape — requires module '%s'"	4	1	src/parse/mod_uprops.c
STR	"accept"	4	1	src/parse/axes_dump.c
STR	"direction"	4	1	src/parse/axes_dump.c
STR	"invalid range in character class"	4	1	src/parse/parse.c
STR	"never"	4	1	src/parse/syntax_dump.c
STR	"no"	4	1	src/parse/syntax_dump.c
STR	"number too big in {m,n} quantifier"	4	1	src/parse/parse.c
STR	"oracle"	4	1	src/parse/rxt_source.c
STR	"planned"	4	1	src/parse/syntax_dump.c
STR	"reverse-deterministic body reversal, which its shape "	4	1	src/opt/revdet.c
STR	"scan must decline"	4	1	src/opt/revdet.c
STR	"slot_values[%s_%s]"	4	1	src/gen/emit_vm.c
STR	"yes"	4	1	src/parse/syntax_dump.c
STR	"—"	4	1	src/parse/syntax_dump.c
STR	'config %s from'	4	1	src/parse/rxt_source.c
STR	'lib %s'	4	1	src/parse/rxt_source.c
NUM	1024	3	3	src/core/arena.c,src/core/compile.c,src/gen/emit_vm.c
NUM	80	3	3	src/core/internal.h,src/gen/emit_dfa.c,src/gen/emit_vm.c
STR	"1"	3	3	src/gen/emit_vm.c,src/parse/registry.c,src/parse/rxt_source.c
STR	"\\r"	3	3	src/gen/emit_dfa.c,src/parse/registry.c,src/parse/rxt_source.c
STR	"\\t"	3	3	src/gen/emit_dfa.c,src/parse/registry.c,src/parse/rxt_source.c
STR	"core/limits.h"	3	3	src/core/internal.h,src/opt/possessify.c,src/opt/revdet.c
STR	"forward"	3	3	src/gen/emit_dfa.c,src/gen/emit_vm.c,src/parse/axes_dump.c
STR	"module '%s' "	3	3	src/core/internal.h,src/parse/ext.c,src/parse/mod_uprops.c
STR	'$'	3	3	src/gen/enc/enc.c,src/parse/parse.c,src/parse/registry.c
STR	'%c'	3	3	cli/main.c,src/gen/emit_dfa.c,src/parse/rxt_source.c
STR	'e'	3	3	cli/main.c,src/parse/parse.c,src/parse/registry.c
STR	't'	3	3	src/parse/parse.c,src/parse/registry.c,src/parse/rxt_source.c
NUM	0x0a	3	2	src/core/fold.c,src/parse/parse.c
NUM	100	3	2	src/core/compile.c,src/opt/prefix_k.c
NUM	19	3	2	cli/main.c,lib/pcrec.h
NUM	20	3	2	lib/pcrec.h,src/ir/dfa.c
STR	"    for (i = 0; i < need; i++) {\n"	3	2	src/gen/enc/enc_byte.c,src/gen/enc/enc_utf8.c
STR	"    return (ptrdiff_t)need;\n"	3	2	src/gen/enc/enc_byte.c,src/gen/enc/enc_utf8.c
STR	"    size_t i;\n"	3	2	src/gen/enc/enc_byte.c,src/gen/enc/enc_utf8.c
STR	"    size_t need = ref_end - ref_start;\n"	3	2	src/gen/enc/enc_byte.c,src/gen/enc/enc_utf8.c
STR	" "	3	2	src/core/internal.h,src/gen/emit_vm.c
STR	"'"	3	2	src/parse/registry.c,src/parse/syntax_dump.c
STR	"all"	3	2	src/parse/enabled.c,src/parse/syntax_dump.c
STR	"ascii"	3	2	src/core/fold.c,src/parse/registry.c
STR	"backreference"	3	2	src/opt/select_engine.c,src/parse/registry.c
STR	"block"	3	2	src/parse/rxt_schema.c,src/parse/schema_dump.c
STR	"cap-rescue"	3	2	src/core/compile.c,src/parse/axes_dump.c
STR	"capacity-declined"	3	2	src/core/compile.c,src/parse/axes_dump.c
STR	"collapsed-prefilter"	3	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	"counter"	3	2	src/gen/emit_vm.c,src/parse/axes_dump.c
STR	"declined-nullable"	3	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	"declined-nullable-default"	3	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	"end"	3	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	"engine"	3	2	src/parse/axes_dump.c,src/parse/rxt_source.c
STR	"eol"	3	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	"fixpoint did not settle in %d rounds"	3	2	src/gen/emit_vm.c,src/opt/callgraph.c
STR	"forced"	3	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	"guarded"	3	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	"hybrid"	3	2	src/gen/emit_vm.c,src/parse/axes_dump.c
STR	"internal error: a class holding code point U+%04X "	3	2	src/core/cpset.c,src/opt/lower_enc.c
STR	"invalid subpattern name"	3	2	src/parse/mod_backrefs.c,src/parse/mod_recursion.c
STR	"memchr"	3	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	"n"	3	2	src/gen/emit_dfa.c,src/parse/rxt_source.c
STR	"offset-set"	3	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	"offset-set-bounded"	3	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	"option"	3	2	src/core/compile.c,src/parse/axes_dump.c
STR	"overflowed-dfa"	3	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	"overflowed-prefilter"	3	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	"pcrec"	3	2	src/parse/rxt_schema.c,src/parse/rxt_source.c
STR	"permissive"	3	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	"pinned"	3	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	"revdet"	3	2	src/gen/emit_vm.c,src/parse/axes_dump.c
STR	"rx"	3	2	src/core/compile.c,src/parse/rxt_source.c
STR	"selected"	3	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	"size-cap-retry"	3	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	"size-model"	3	2	src/core/compile.c,src/parse/axes_dump.c
STR	"size-model-declined"	3	2	src/core/compile.c,src/parse/axes_dump.c
STR	"subroutine call"	3	2	src/gen/emit_vm.c,src/opt/select_engine.c
STR	"unwrapped"	3	2	src/gen/emit_dfa.c,src/parse/axes_dump.c
STR	'&'	3	2	src/parse/mod_recursion.c,src/parse/registry.c
STR	'@'	3	2	src/gen/enc/enc.c,src/parse/rxt_source.c
STR	'D'	3	2	src/parse/mod_modifiers.c,src/parse/registry.c
STR	'R'	3	2	src/parse/mod_recursion.c,src/parse/registry.c
STR	'U'	3	2	src/parse/mod_modifiers.c,src/parse/registry.c
STR	'W'	3	2	src/parse/mod_modifiers.c,src/parse/registry.c
STR	'name'	3	2	src/parse/registry.c,src/parse/rxt_source.c
NUM	0x1u	3	1	src/gen/emit_vm.c
NUM	0x2u	3	1	src/gen/emit_vm.c
NUM	0x7F	3	1	src/opt/lower_enc.c
NUM	0xC0	3	1	src/opt/lower_enc.c
NUM	0xE0	3	1	src/opt/lower_enc.c
NUM	0xF0	3	1	src/opt/lower_enc.c
NUM	144	3	1	src/gen/emit_vm.c
NUM	498	3	1	src/opt/prefix_k.c
NUM	83	3	1	src/opt/prefix_k.c
NUM	831	3	1	src/opt/prefix_k.c
NUM	96	3	1	src/gen/emit_vm.c
STR	"                            buffers->trail,  buffers->ntrail);\n"	3	1	src/gen/emit_vm.c
STR	"        goto *%s_targets_%d[%s_byte_class[subject[scan_position++]]];\n"	3	1	src/gen/emit_dfa.c
STR	"        goto *((start == 0) ? "	3	1	src/gen/emit_dfa.c
STR	"        if (scan_position + 1 == subject_length && subject[scan_position] == '\\n') {\n"	3	1	src/gen/emit_dfa.c
