# ENG-BREP design lane -- archived probe output
#
# probe_possess_corpus.py over the 756 harvested .rxt patterns.
#
date:        2026-08-16T00:52:27Z
repo commit: 19f5c120258729fab816704dfda8848e0ea28780  (branch eng-brep)
gcc:         gcc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
python:      Python 3.14.4
host:        Linux 7.0.0-29-generic, 12 cores
#
# EVIDENCE, NEVER AN ORACLE: no check reads this file.
#
pattern	kind	lo	hi	verdict	why
(a+)(b+)	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(a+)(b+)	unbounded	1	inf	possessifiable	disjoint+unique-iteration
([a-z]+)	unbounded	1	inf	possessifiable	disjoint+unique-iteration
([^0-9]+)	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(\w+)\s(\w+)	unbounded	1	inf	no	overlap: ,!,",#,$,%
(\w+)\s(\w+)	unbounded	1	inf	possessifiable	disjoint+unique-iteration
((a)|b){0,64}c	bounded	0	64	possessifiable	disjoint+unique-iteration
(a(b)?)	bounded	0	1	possessifiable	disjoint+unique-iteration
(a(b))?x	bounded	0	1	possessifiable	disjoint+unique-iteration
(a(b)*c)?d	bounded	0	1	possessifiable	disjoint+unique-iteration
(a(b)*c)?d	unbounded	0	inf	possessifiable	disjoint+unique-iteration
((a)|(b))*	unbounded	0	inf	possessifiable	disjoint+unique-iteration
(a*)	unbounded	0	inf	possessifiable	disjoint+unique-iteration
b(a*)b	unbounded	0	inf	possessifiable	disjoint+unique-iteration
(a*)$	unbounded	0	inf	no	overlap:a
^(a*)	unbounded	0	inf	possessifiable	disjoint+unique-iteration
(a?)(b?)	bounded	0	1	possessifiable	disjoint+unique-iteration
(a?)(b?)	bounded	0	1	possessifiable	disjoint+unique-iteration
(x?)(y?)(z?)	bounded	0	1	possessifiable	disjoint+unique-iteration
(x?)(y?)(z?)	bounded	0	1	possessifiable	disjoint+unique-iteration
(x?)(y?)(z?)	bounded	0	1	possessifiable	disjoint+unique-iteration
a(x?)b	bounded	0	1	possessifiable	disjoint+unique-iteration
(a|ab)(c|bcd)(d*)	unbounded	0	inf	possessifiable	disjoint+unique-iteration
(a+|a)	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(a|a+)	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(a)?a	bounded	0	1	no	overlap:a
(a*)a	unbounded	0	inf	no	overlap:a
(a)+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(ab)+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(a|b)+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(a?)*	unbounded	0	inf	no	nullable-body
(a?)*	bounded	0	1	no	overlap:a
(a*)*	unbounded	0	inf	no	nullable-body
(a*)*	unbounded	0	inf	no	overlap:a
(a*)+	unbounded	1	inf	no	nullable-body
(a*)+	unbounded	0	inf	no	overlap:a
(a){0,3}	bounded	0	3	possessifiable	disjoint+unique-iteration
(a){2,4}	bounded	2	4	possessifiable	disjoint+unique-iteration
(a){2,4}?	bounded	2	4	possessifiable	disjoint+unique-iteration
(ab){1,3}	bounded	1	3	possessifiable	disjoint+unique-iteration
(a|bb)+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
((a)+)+	unbounded	1	inf	no	not-prefix-free
((a)+)+	unbounded	1	inf	no	overlap:a
(a+)(a+)	unbounded	1	inf	no	overlap:a
(a+)(a+)	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(a){3}	bounded	3	3	possessifiable	exact-count+unique-iteration
(a){0}	bounded	0	0	possessifiable	exact-count+unique-iteration
(a+)	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(a+?)	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(a+?)b	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(^a|b)+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(a+)$	unbounded	1	inf	no	overlap:a
(\d+)	unbounded	1	inf	possessifiable	disjoint+unique-iteration
((a)(b))+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(abc)+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(\d{2,4})-(\d{2,4})	bounded	2	4	no	overlap:-
(\d{2,4})-(\d{2,4})	bounded	2	4	possessifiable	disjoint+unique-iteration
(a|B)+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
a|b+|ab	unbounded	1	inf	possessifiable	disjoint+unique-iteration
ab|b+|a	unbounded	1	inf	possessifiable	disjoint+unique-iteration
abc|x+|abd|a	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(?:foo|foobar)+	unbounded	1	inf	no	not-prefix-free
q|a+|ab	unbounded	1	inf	possessifiable	disjoint+unique-iteration
a{3}	bounded	3	3	possessifiable	exact-count+unique-iteration
a{2,4}	bounded	2	4	possessifiable	disjoint+unique-iteration
a{2,}	unbounded	2	inf	possessifiable	disjoint+unique-iteration
a{0,3}	bounded	0	3	possessifiable	disjoint+unique-iteration
a{0}	bounded	0	0	possessifiable	exact-count+unique-iteration
a{2,4}?	bounded	2	4	possessifiable	disjoint+unique-iteration
a{2,}?	unbounded	2	inf	possessifiable	disjoint+unique-iteration
a{1,3}?	bounded	1	3	possessifiable	disjoint+unique-iteration
ab{2,3}c	bounded	2	3	possessifiable	disjoint+unique-iteration
(ab){2,3}	bounded	2	3	possessifiable	disjoint+unique-iteration
x{1,2}y	bounded	1	2	possessifiable	disjoint+unique-iteration
a{2,2}	bounded	2	2	possessifiable	exact-count+unique-iteration
a{0,0}	bounded	0	0	possessifiable	exact-count+unique-iteration
(a|b){3,3}c	bounded	3	3	possessifiable	exact-count+unique-iteration
[0-9]+-[0-9]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[0-9]+-[0-9]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[a-z]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[A-Z]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[a-f0-9]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[^a-z]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[^0-9]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(cat|DOG)s?	bounded	0	1	possessifiable	disjoint+unique-iteration
[\x80-\xff]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
.*	unbounded	0	inf	possessifiable	disjoint+unique-iteration
.+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
a*	unbounded	0	inf	possessifiable	disjoint+unique-iteration
a?	bounded	0	1	possessifiable	disjoint+unique-iteration
(abc)?	bounded	0	1	possessifiable	disjoint+unique-iteration
a{0,}	unbounded	0	inf	possessifiable	disjoint+unique-iteration
x*y*	unbounded	0	inf	possessifiable	disjoint+unique-iteration
x*y*	unbounded	0	inf	possessifiable	disjoint+unique-iteration
^a*$	unbounded	0	inf	no	overlap:a
a*b$	unbounded	0	inf	possessifiable	disjoint+unique-iteration
(?:$|[^abc]){2,}	unbounded	2	inf	no	nullable-body
.*$	unbounded	0	inf	no	overlap: ,!,",#,$,%
a+?$	unbounded	1	inf	no	overlap:a
x*$	unbounded	0	inf	no	overlap:x
[0-9]+z$	unbounded	1	inf	possessifiable	disjoint+unique-iteration
.*=.*$	unbounded	0	inf	no	overlap:=
.*=.*$	unbounded	0	inf	no	overlap: ,!,",#,$,%
a*b*$	unbounded	0	inf	no	overlap:a
a*b*$	unbounded	0	inf	no	overlap:b
[a-z]*$	unbounded	0	inf	no	overlap:a,b,c,d,e,f
[^\n]*$	unbounded	0	inf	no	overlap: ,!,",#,$,%
b*$	unbounded	0	inf	no	overlap:b
a.*$	unbounded	0	inf	no	overlap: ,!,",#,$,%
[a-z]+@[a-z]+$	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[a-z]+@[a-z]+$	unbounded	1	inf	no	overlap:a,b,c,d,e,f
a*$	unbounded	0	inf	no	overlap:a
a.*|b$	unbounded	0	inf	possessifiable	disjoint+unique-iteration
=.*|x$	unbounded	0	inf	possessifiable	disjoint+unique-iteration
a[^\n]*|\n$	unbounded	0	inf	possessifiable	disjoint+unique-iteration
[a-z].*|q$	unbounded	0	inf	possessifiable	disjoint+unique-iteration
a.*|b	unbounded	0	inf	possessifiable	disjoint+unique-iteration
=.*|;	unbounded	0	inf	possessifiable	disjoint+unique-iteration
a(?:$|.)*	unbounded	0	inf	no	nullable-body
x(?:$|[^\n])*	unbounded	0	inf	no	nullable-body
(?:=|$)(?:.|$)*	unbounded	0	inf	no	nullable-body
x$.*	unbounded	0	inf	possessifiable	disjoint+unique-iteration
a$.*	unbounded	0	inf	possessifiable	disjoint+unique-iteration
.*$.*	unbounded	0	inf	no	overlap: ,!,",#,$,%
.*$.*	unbounded	0	inf	possessifiable	disjoint+unique-iteration
$[^\n]*	unbounded	0	inf	possessifiable	disjoint+unique-iteration
[a-z]*=	unbounded	0	inf	possessifiable	disjoint+unique-iteration
.*=	unbounded	0	inf	no	overlap:=
x.*y	unbounded	0	inf	no	overlap:y
[^\n]*=	unbounded	0	inf	no	overlap:=
a{,3}	bounded	0	3	possessifiable	disjoint+unique-iteration
a{,3}b	bounded	0	3	possessifiable	disjoint+unique-iteration
(?:ab){,2}c	bounded	0	2	possessifiable	disjoint+unique-iteration
a{,}	unbounded	0	inf	possessifiable	disjoint+unique-iteration
(()|^){0}[b]	bounded	0	0	no	overlap:b
(()|$){0}b	bounded	0	0	no	overlap:b
(?:ab)+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(?:a|b)+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(abc)*	unbounded	0	inf	possessifiable	disjoint+unique-iteration
((ab)+c)+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
((ab)+c)+	unbounded	1	inf	no	overlap:a
\xff+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[a\x80-\x9f]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(?:(?:a|b*?)?)*	unbounded	0	inf	no	nullable-body
(?:(?:a|b*?)?)*	bounded	0	1	no	overlap:a,b
(?:(?:a|b*?)?)*	unbounded	0	inf	no	overlap:b
(?:(?:b*?|a)?)*	unbounded	0	inf	no	nullable-body
(?:(?:b*?|a)?)*	bounded	0	1	no	overlap:a,b
(?:(?:b*?|a)?)*	unbounded	0	inf	no	overlap:b
((?:a|b*?)?)*	unbounded	0	inf	no	nullable-body
((?:a|b*?)?)*	bounded	0	1	no	overlap:a,b
((?:a|b*?)?)*	unbounded	0	inf	no	overlap:b
((?:b*?|a)?)*	unbounded	0	inf	no	nullable-body
((?:b*?|a)?)*	bounded	0	1	no	overlap:a,b
((?:b*?|a)?)*	unbounded	0	inf	no	overlap:b
(?:(a|b*?)?)*	unbounded	0	inf	no	nullable-body
(?:(a|b*?)?)*	bounded	0	1	no	overlap:a,b
(?:(a|b*?)?)*	unbounded	0	inf	no	overlap:b
(?:(b*?|a)?)*	unbounded	0	inf	no	nullable-body
(?:(b*?|a)?)*	bounded	0	1	no	overlap:a,b
(?:(b*?|a)?)*	unbounded	0	inf	no	overlap:b
(?:(?:a+|b*?)?)*	unbounded	0	inf	no	nullable-body
(?:(?:a+|b*?)?)*	bounded	0	1	no	overlap:a,b
(?:(?:a+|b*?)?)*	unbounded	1	inf	no	overlap:a
(?:(?:a+|b*?)?)*	unbounded	0	inf	no	overlap:b
(?:(?:b*?|a+)?)*	unbounded	0	inf	no	nullable-body
(?:(?:b*?|a+)?)*	bounded	0	1	no	overlap:a,b
(?:(?:b*?|a+)?)*	unbounded	0	inf	no	overlap:b
(?:(?:b*?|a+)?)*	unbounded	1	inf	no	overlap:a
(?:(?:a|b??)?)*	unbounded	0	inf	no	nullable-body
(?:(?:a|b??)?)*	bounded	0	1	no	overlap:a,b
(?:(?:a|b??)?)*	bounded	0	1	no	overlap:b
(?:(?:b??|a)?)*	unbounded	0	inf	no	nullable-body
(?:(?:b??|a)?)*	bounded	0	1	no	overlap:a,b
(?:(?:b??|a)?)*	bounded	0	1	no	overlap:b
(?:(?:a?|b*?)?)*	unbounded	0	inf	no	nullable-body
(?:(?:a?|b*?)?)*	bounded	0	1	no	overlap:a,b
(?:(?:a?|b*?)?)*	bounded	0	1	no	overlap:a
(?:(?:a?|b*?)?)*	unbounded	0	inf	no	overlap:b
(?:(?:b*?|a?)?)*	unbounded	0	inf	no	nullable-body
(?:(?:b*?|a?)?)*	bounded	0	1	no	overlap:a,b
(?:(?:b*?|a?)?)*	unbounded	0	inf	no	overlap:b
(?:(?:b*?|a?)?)*	bounded	0	1	no	overlap:a
(?:(?:a|b*?)?)+	unbounded	1	inf	no	nullable-body
(?:(?:a|b*?)?)+	bounded	0	1	no	overlap:a,b
(?:(?:a|b*?)?)+	unbounded	0	inf	no	overlap:b
(?:(?:b*?|a)?)+	unbounded	1	inf	no	nullable-body
(?:(?:b*?|a)?)+	bounded	0	1	no	overlap:a,b
(?:(?:b*?|a)?)+	unbounded	0	inf	no	overlap:b
(?:(?:[a]|[b]*?)?)*	unbounded	0	inf	no	nullable-body
(?:(?:[a]|[b]*?)?)*	bounded	0	1	no	overlap:a,b
(?:(?:[a]|[b]*?)?)*	unbounded	0	inf	no	overlap:b
(?:(?:[b]*?|[a])?)*	unbounded	0	inf	no	nullable-body
(?:(?:[b]*?|[a])?)*	bounded	0	1	no	overlap:a,b
(?:(?:[b]*?|[a])?)*	unbounded	0	inf	no	overlap:b
(?:(?:a|c|b*?)?)*	unbounded	0	inf	no	nullable-body
(?:(?:a|c|b*?)?)*	bounded	0	1	no	overlap:a,b,c
(?:(?:a|c|b*?)?)*	unbounded	0	inf	no	overlap:b
(?:(?:b*?|a|c)?)*	unbounded	0	inf	no	nullable-body
(?:(?:b*?|a|c)?)*	bounded	0	1	no	overlap:a,b,c
(?:(?:b*?|a|c)?)*	unbounded	0	inf	no	overlap:b
^(?:(?:a|b*?)?)*	unbounded	0	inf	no	nullable-body
^(?:(?:a|b*?)?)*	bounded	0	1	no	overlap:a,b
^(?:(?:a|b*?)?)*	unbounded	0	inf	no	overlap:b
^(?:(?:b*?|a)?)*	unbounded	0	inf	no	nullable-body
^(?:(?:b*?|a)?)*	bounded	0	1	no	overlap:a,b
^(?:(?:b*?|a)?)*	unbounded	0	inf	no	overlap:b
(?:(?:b*|a)?)*	unbounded	0	inf	no	nullable-body
(?:(?:b*|a)?)*	bounded	0	1	no	overlap:a,b
(?:(?:b*|a)?)*	unbounded	0	inf	no	overlap:b
(?:(?:a|b*)?)*	unbounded	0	inf	no	nullable-body
(?:(?:a|b*)?)*	bounded	0	1	no	overlap:a,b
(?:(?:a|b*)?)*	unbounded	0	inf	no	overlap:b
(?:(?:b?|a)?)*	unbounded	0	inf	no	nullable-body
(?:(?:b?|a)?)*	bounded	0	1	no	overlap:a,b
(?:(?:b?|a)?)*	bounded	0	1	no	overlap:b
(?:(?:a|b?)?)*	unbounded	0	inf	no	nullable-body
(?:(?:a|b?)?)*	bounded	0	1	no	overlap:a,b
(?:(?:a|b?)?)*	bounded	0	1	no	overlap:b
(?:(?:[b]*|a)?)*	unbounded	0	inf	no	nullable-body
(?:(?:[b]*|a)?)*	bounded	0	1	no	overlap:a,b
(?:(?:[b]*|a)?)*	unbounded	0	inf	no	overlap:b
(?:(?:a|[b]*)?)*	unbounded	0	inf	no	nullable-body
(?:(?:a|[b]*)?)*	bounded	0	1	no	overlap:a,b
(?:(?:a|[b]*)?)*	unbounded	0	inf	no	overlap:b
((?:b*|a)?)*	unbounded	0	inf	no	nullable-body
((?:b*|a)?)*	bounded	0	1	no	overlap:a,b
((?:b*|a)?)*	unbounded	0	inf	no	overlap:b
((?:a|b*)?)*	unbounded	0	inf	no	nullable-body
((?:a|b*)?)*	bounded	0	1	no	overlap:a,b
((?:a|b*)?)*	unbounded	0	inf	no	overlap:b
(?:(?:b*|a)?)+	unbounded	1	inf	no	nullable-body
(?:(?:b*|a)?)+	bounded	0	1	no	overlap:a,b
(?:(?:b*|a)?)+	unbounded	0	inf	no	overlap:b
(?:(?:a|b*)?)+	unbounded	1	inf	no	nullable-body
(?:(?:a|b*)?)+	bounded	0	1	no	overlap:a,b
(?:(?:a|b*)?)+	unbounded	0	inf	no	overlap:b
^(?:(?:b*|a)?)*	unbounded	0	inf	no	nullable-body
^(?:(?:b*|a)?)*	bounded	0	1	no	overlap:a,b
^(?:(?:b*|a)?)*	unbounded	0	inf	no	overlap:b
^(?:(?:a|b*)?)*	unbounded	0	inf	no	nullable-body
^(?:(?:a|b*)?)*	bounded	0	1	no	overlap:a,b
^(?:(?:a|b*)?)*	unbounded	0	inf	no	overlap:b
(?:(?:b{0,2}|a)?)*	unbounded	0	inf	no	nullable-body
(?:(?:b{0,2}|a)?)*	bounded	0	1	no	overlap:a,b
(?:(?:b{0,2}|a)?)*	bounded	0	2	no	overlap:b
(?:(?:a|b{0,2})?)*	unbounded	0	inf	no	nullable-body
(?:(?:a|b{0,2})?)*	bounded	0	1	no	overlap:a,b
(?:(?:a|b{0,2})?)*	bounded	0	2	no	overlap:b
(?:(?:b{0,2}?|a)?)*	unbounded	0	inf	no	nullable-body
(?:(?:b{0,2}?|a)?)*	bounded	0	1	no	overlap:a,b
(?:(?:b{0,2}?|a)?)*	bounded	0	2	no	overlap:b
(?:(?:a|b{0,2}?)?)*	unbounded	0	inf	no	nullable-body
(?:(?:a|b{0,2}?)?)*	bounded	0	1	no	overlap:a,b
(?:(?:a|b{0,2}?)?)*	bounded	0	2	no	overlap:b
(?:(?:(?:b|)|a)?)*	unbounded	0	inf	no	nullable-body
(?:(?:(?:b|)|a)?)*	bounded	0	1	no	overlap:a,b
(?:(?:a|(?:b|))?)*	unbounded	0	inf	no	nullable-body
(?:(?:a|(?:b|))?)*	bounded	0	1	no	overlap:a,b
(?:(?:(?:|b)|a)?)*	unbounded	0	inf	no	nullable-body
(?:(?:(?:|b)|a)?)*	bounded	0	1	no	overlap:a,b
(?:(?:a|(?:|b))?)*	unbounded	0	inf	no	nullable-body
(?:(?:a|(?:|b))?)*	bounded	0	1	no	overlap:a,b
((?:(?:b|)|a)?)*	unbounded	0	inf	no	nullable-body
((?:(?:b|)|a)?)*	bounded	0	1	no	overlap:a,b
(?:(?:b?|a)(?:b?|d))*	unbounded	0	inf	no	nullable-body
(?:(?:b?|a)(?:b?|d))*	bounded	0	1	no	overlap:b
(?:(?:b?|a)(?:b?|d))*	bounded	0	1	no	overlap:b
(?:(?:a|b?)(?:d|b?))*	unbounded	0	inf	no	nullable-body
(?:(?:a|b?)(?:d|b?))*	bounded	0	1	no	overlap:b
(?:(?:a|b?)(?:d|b?))*	bounded	0	1	no	overlap:b
(?:(?:b*|a)(?:b*|d))*	unbounded	0	inf	no	nullable-body
(?:(?:b*|a)(?:b*|d))*	unbounded	0	inf	no	overlap:b
(?:(?:b*|a)(?:b*|d))*	unbounded	0	inf	no	overlap:b
(?:(?:b*?|a)(?:b*?|d))*	unbounded	0	inf	no	nullable-body
(?:(?:b*?|a)(?:b*?|d))*	unbounded	0	inf	no	overlap:b
(?:(?:b*?|a)(?:b*?|d))*	unbounded	0	inf	no	overlap:b
(?:(?:a|b*?)*)*	unbounded	0	inf	no	nullable-body
(?:(?:a|b*?)*)*	unbounded	0	inf	no	overlap:a,b
(?:(?:a|b*?)*)*	unbounded	0	inf	no	overlap:b
(?:(?:a|b*?))*	unbounded	0	inf	no	nullable-body
(?:(?:a|b*?))*	unbounded	0	inf	no	overlap:b
(?:(?:a|b*?)?)	bounded	0	1	no	nullable-body
(?:(?:a|b*?)?)	unbounded	0	inf	no	overlap:b
(?:a(?:b*?)?)*	unbounded	0	inf	no	not-prefix-free
(?:a(?:b*?)?)*	bounded	0	1	no	nullable-body
(?:a(?:b*?)?)*	unbounded	0	inf	no	overlap:b
(?:(?:a|)?)*	unbounded	0	inf	no	nullable-body
(?:(?:a|)?)*	bounded	0	1	no	overlap:a
(?:b*?(?:a*)*)*	unbounded	0	inf	no	nullable-body
(?:b*?(?:a*)*)*	unbounded	0	inf	no	overlap:b
(?:b*?(?:a*)*)*	unbounded	0	inf	no	overlap:a
(?:b*?(?:a*)*)*	unbounded	0	inf	no	overlap:a
(?:b*?(?:(?:a*)*)*)*	unbounded	0	inf	no	nullable-body
(?:b*?(?:(?:a*)*)*)*	unbounded	0	inf	no	overlap:b
(?:b*?(?:(?:a*)*)*)*	unbounded	0	inf	no	overlap:a
(?:b*?(?:(?:a*)*)*)*	unbounded	0	inf	no	overlap:a
(?:b*?(?:(?:a*)*)*)*	unbounded	0	inf	no	overlap:a
a(?:b|c)*d	unbounded	0	inf	possessifiable	disjoint+unique-iteration
(?:a*|b*){3}	bounded	3	3	no	nullable-body
(?:a*|b*){3}	unbounded	0	inf	no	overlap:a
(?:a*|b*){3}	unbounded	0	inf	no	overlap:b
(1{0,30}?[^]abc][^abc]){28,30}0+|a	bounded	28	30	no	overlap:0
(1{0,30}?[^]abc][^abc]){28,30}0+|a	bounded	0	30	no	overlap:1
(1{0,30}?[^]abc][^abc]){28,30}0+|a	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(1{0,30}?[^]abc][^abc]){8,8}0+|a	bounded	8	8	no	overlap:0
(1{0,30}?[^]abc][^abc]){8,8}0+|a	bounded	0	30	no	overlap:1
(1{0,30}?[^]abc][^abc]){8,8}0+|a	unbounded	1	inf	possessifiable	disjoint+unique-iteration
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	bounded	2	3	no	nullable-body
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	bounded	1	2	no	overlap: ,!,",#,$,%
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	bounded	0	2	no	overlap: ,!,",#,$,%
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	unbounded	1	inf	no	overlap: ,!,",#,$,%
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	bounded	1	2	no	overlap: ,!,",#,$,%
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	bounded	0	1	no	overlap: ,!,",#,$,%
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	bounded	0	2	no	overlap: ,!,",#,$,%
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	bounded	2	3	no	nullable-body
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}	bounded	2	3	no	nullable-body
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}	bounded	1	2	no	overlap: ,!,",#,$,%
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}	bounded	0	4	no	overlap: ,!,",#,$,%
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}	unbounded	1	inf	no	overlap: ,!,",#,$,%
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}	bounded	1	2	no	overlap: ,!,",#,$,%
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}	bounded	0	1	no	overlap: ,!,",#,$,%
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}	bounded	0	2	no	overlap: ,!,",#,$,%
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}	bounded	2	3	no	nullable-body
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,6}(){2,3}){1,2}){2,3}	bounded	2	3	no	nullable-body
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,6}(){2,3}){1,2}){2,3}	bounded	1	2	no	overlap: ,!,",#,$,%
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,6}(){2,3}){1,2}){2,3}	bounded	0	6	no	overlap: ,!,",#,$,%
