# ENG-BREP design lane -- archived probe output
#
# Task A: nested-lazy differential (probe_possess_nested.py) -- outer=info[0]/inner=info[1] two-target sweep, 9,216 patterns, greedy/greedy + greedy/lazy + lazy/lazy + lazy/greedy combos
#
date:        2026-08-16T17:44:12Z
repo commit: 0b9da1f14436cd3c18f4994b0ffef0d74b8bfcd7  (branch lane/nestedlazy)
gcc:         gcc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
python:      Python 3.14.4
host:        Linux 7.0.0-29-generic, 12 cores
#
# EVIDENCE, NEVER AN ORACLE: no check reads this file.
#
mode	target	combo	pattern	verdict	why	status
real	outer	greedy/greedy	([ab]*b){0,4}	no	ambiguous-body	same
real	inner	greedy/greedy	([ab]*b){0,4}	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?b){0,4}	no	ambiguous-body	same
real	inner	greedy/lazy	([ab]*?b){0,4}	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	([ab]*?b){0,4}?	no	ambiguous-body	DIVERGES
real	inner	lazy/lazy	([ab]*?b){0,4}?	no	overlap:a,b	same
real	outer	lazy/greedy	([ab]*b){0,4}?	no	ambiguous-body	DIVERGES
real	inner	lazy/greedy	([ab]*b){0,4}?	no	overlap:a,b	same
real	outer	greedy/greedy	z([ab]*b){0,4}	no	ambiguous-body	same
real	inner	greedy/greedy	z([ab]*b){0,4}	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	z([ab]*?b){0,4}	no	ambiguous-body	same
real	inner	greedy/lazy	z([ab]*?b){0,4}	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	z([ab]*?b){0,4}?	no	ambiguous-body	DIVERGES
real	inner	lazy/lazy	z([ab]*?b){0,4}?	no	overlap:a,b	same
real	outer	lazy/greedy	z([ab]*b){0,4}?	no	ambiguous-body	DIVERGES
real	inner	lazy/greedy	z([ab]*b){0,4}?	no	overlap:a,b	same
real	outer	greedy/greedy	([ab]*b){0,4}$	no	overlap:a,b	same
real	inner	greedy/greedy	([ab]*b){0,4}$	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?b){0,4}$	no	overlap:a,b	DIVERGES
real	inner	greedy/lazy	([ab]*?b){0,4}$	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	([ab]*?b){0,4}?$	no	overlap:a,b	DIVERGES
real	inner	lazy/lazy	([ab]*?b){0,4}?$	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	([ab]*b){0,4}?$	no	overlap:a,b	same
real	inner	lazy/greedy	([ab]*b){0,4}?$	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	z([ab]*b){0,4}$	no	overlap:a,b	same
real	inner	greedy/greedy	z([ab]*b){0,4}$	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	z([ab]*?b){0,4}$	no	overlap:a,b	DIVERGES
real	inner	greedy/lazy	z([ab]*?b){0,4}$	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	z([ab]*?b){0,4}?$	no	overlap:a,b	DIVERGES
real	inner	lazy/lazy	z([ab]*?b){0,4}?$	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	z([ab]*b){0,4}?$	no	overlap:a,b	same
real	inner	lazy/greedy	z([ab]*b){0,4}?$	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	([ab]*b){0,4}\b	no	overlap:a,b	DIVERGES
real	inner	greedy/greedy	([ab]*b){0,4}\b	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?b){0,4}\b	no	overlap:a,b	DIVERGES
real	inner	greedy/lazy	([ab]*?b){0,4}\b	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	([ab]*?b){0,4}?\b	no	overlap:a,b	DIVERGES
real	inner	lazy/lazy	([ab]*?b){0,4}?\b	no	overlap:a,b	same
real	outer	lazy/greedy	([ab]*b){0,4}?\b	no	overlap:a,b	DIVERGES
real	inner	lazy/greedy	([ab]*b){0,4}?\b	no	overlap:a,b	same
real	outer	greedy/greedy	z([ab]*b){0,4}\b	no	overlap:a,b	same
real	inner	greedy/greedy	z([ab]*b){0,4}\b	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	z([ab]*?b){0,4}\b	no	overlap:a,b	DIVERGES
real	inner	greedy/lazy	z([ab]*?b){0,4}\b	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	z([ab]*?b){0,4}?\b	no	overlap:a,b	DIVERGES
real	inner	lazy/lazy	z([ab]*?b){0,4}?\b	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	z([ab]*b){0,4}?\b	no	overlap:a,b	same
real	inner	lazy/greedy	z([ab]*b){0,4}?\b	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	([ab]*b){1,3}c	no	ambiguous-body	same
real	inner	greedy/greedy	([ab]*b){1,3}c	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?b){1,3}c	no	ambiguous-body	same
real	inner	greedy/lazy	([ab]*?b){1,3}c	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	([ab]*?b){1,3}?c	no	ambiguous-body	same
real	inner	lazy/lazy	([ab]*?b){1,3}?c	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	([ab]*b){1,3}?c	no	ambiguous-body	same
real	inner	lazy/greedy	([ab]*b){1,3}?c	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	z([ab]*b){1,3}c	no	ambiguous-body	same
real	inner	greedy/greedy	z([ab]*b){1,3}c	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	z([ab]*?b){1,3}c	no	ambiguous-body	same
real	inner	greedy/lazy	z([ab]*?b){1,3}c	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	z([ab]*?b){1,3}?c	no	ambiguous-body	same
real	inner	lazy/lazy	z([ab]*?b){1,3}?c	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	z([ab]*b){1,3}?c	no	ambiguous-body	same
real	inner	lazy/greedy	z([ab]*b){1,3}?c	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	([ab]*b){1,3}	no	ambiguous-body	same
real	inner	greedy/greedy	([ab]*b){1,3}	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?b){1,3}	no	ambiguous-body	same
real	inner	greedy/lazy	([ab]*?b){1,3}	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	([ab]*?b){1,3}?	no	ambiguous-body	DIVERGES
real	inner	lazy/lazy	([ab]*?b){1,3}?	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	([ab]*b){1,3}?	no	ambiguous-body	same
real	inner	lazy/greedy	([ab]*b){1,3}?	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	z([ab]*b){1,3}	no	ambiguous-body	same
real	inner	greedy/greedy	z([ab]*b){1,3}	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	z([ab]*?b){1,3}	no	ambiguous-body	same
real	inner	greedy/lazy	z([ab]*?b){1,3}	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	z([ab]*?b){1,3}?	no	ambiguous-body	DIVERGES
real	inner	lazy/lazy	z([ab]*?b){1,3}?	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	z([ab]*b){1,3}?	no	ambiguous-body	same
real	inner	lazy/greedy	z([ab]*b){1,3}?	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	([ab]*b){1,3}$	no	overlap:a,b	same
real	inner	greedy/greedy	([ab]*b){1,3}$	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?b){1,3}$	no	overlap:a,b	DIVERGES
real	inner	greedy/lazy	([ab]*?b){1,3}$	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	([ab]*?b){1,3}?$	no	overlap:a,b	DIVERGES
real	inner	lazy/lazy	([ab]*?b){1,3}?$	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	([ab]*b){1,3}?$	no	overlap:a,b	same
real	inner	lazy/greedy	([ab]*b){1,3}?$	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	z([ab]*b){1,3}$	no	overlap:a,b	same
real	inner	greedy/greedy	z([ab]*b){1,3}$	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	z([ab]*?b){1,3}$	no	overlap:a,b	DIVERGES
real	inner	greedy/lazy	z([ab]*?b){1,3}$	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	z([ab]*?b){1,3}?$	no	overlap:a,b	DIVERGES
real	inner	lazy/lazy	z([ab]*?b){1,3}?$	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	z([ab]*b){1,3}?$	no	overlap:a,b	same
real	inner	lazy/greedy	z([ab]*b){1,3}?$	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	([ab]*b){1,3}\b	no	overlap:a,b	same
real	inner	greedy/greedy	([ab]*b){1,3}\b	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?b){1,3}\b	no	overlap:a,b	DIVERGES
real	inner	greedy/lazy	([ab]*?b){1,3}\b	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	([ab]*?b){1,3}?\b	no	overlap:a,b	DIVERGES
real	inner	lazy/lazy	([ab]*?b){1,3}?\b	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	([ab]*b){1,3}?\b	no	overlap:a,b	same
real	inner	lazy/greedy	([ab]*b){1,3}?\b	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	z([ab]*b){1,3}\b	no	overlap:a,b	same
real	inner	greedy/greedy	z([ab]*b){1,3}\b	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	z([ab]*?b){1,3}\b	no	overlap:a,b	DIVERGES
real	inner	greedy/lazy	z([ab]*?b){1,3}\b	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	z([ab]*?b){1,3}?\b	no	overlap:a,b	DIVERGES
real	inner	lazy/lazy	z([ab]*?b){1,3}?\b	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	z([ab]*b){1,3}?\b	no	overlap:a,b	same
real	inner	lazy/greedy	z([ab]*b){1,3}?\b	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	([ab]*b){2,2}c	no	ambiguous-body	DIVERGES
real	inner	greedy/greedy	([ab]*b){2,2}c	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?b){2,2}c	no	ambiguous-body	DIVERGES
real	inner	greedy/lazy	([ab]*?b){2,2}c	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	([ab]*?b){2,2}?c	no	ambiguous-body	DIVERGES
real	inner	lazy/lazy	([ab]*?b){2,2}?c	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	([ab]*b){2,2}?c	no	ambiguous-body	DIVERGES
real	inner	lazy/greedy	([ab]*b){2,2}?c	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	z([ab]*b){2,2}c	no	ambiguous-body	DIVERGES
real	inner	greedy/greedy	z([ab]*b){2,2}c	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	z([ab]*?b){2,2}c	no	ambiguous-body	same
real	inner	greedy/lazy	z([ab]*?b){2,2}c	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	z([ab]*?b){2,2}?c	no	ambiguous-body	same
real	inner	lazy/lazy	z([ab]*?b){2,2}?c	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	z([ab]*b){2,2}?c	no	ambiguous-body	DIVERGES
real	inner	lazy/greedy	z([ab]*b){2,2}?c	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	([ab]*b){2,2}	no	ambiguous-body	DIVERGES
real	inner	greedy/greedy	([ab]*b){2,2}	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?b){2,2}	no	ambiguous-body	same
real	inner	greedy/lazy	([ab]*?b){2,2}	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	([ab]*?b){2,2}?	no	ambiguous-body	same
real	inner	lazy/lazy	([ab]*?b){2,2}?	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	([ab]*b){2,2}?	no	ambiguous-body	DIVERGES
real	inner	lazy/greedy	([ab]*b){2,2}?	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	z([ab]*b){2,2}	no	ambiguous-body	DIVERGES
real	inner	greedy/greedy	z([ab]*b){2,2}	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	z([ab]*?b){2,2}	no	ambiguous-body	same
real	inner	greedy/lazy	z([ab]*?b){2,2}	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	z([ab]*?b){2,2}?	no	ambiguous-body	same
real	inner	lazy/lazy	z([ab]*?b){2,2}?	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	z([ab]*b){2,2}?	no	ambiguous-body	DIVERGES
real	inner	lazy/greedy	z([ab]*b){2,2}?	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	([ab]*b){2,2}$	no	overlap:a,b	DIVERGES
real	inner	greedy/greedy	([ab]*b){2,2}$	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?b){2,2}$	no	overlap:a,b	DIVERGES
real	inner	greedy/lazy	([ab]*?b){2,2}$	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	([ab]*?b){2,2}?$	no	overlap:a,b	DIVERGES
real	inner	lazy/lazy	([ab]*?b){2,2}?$	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	([ab]*b){2,2}?$	no	overlap:a,b	DIVERGES
real	inner	lazy/greedy	([ab]*b){2,2}?$	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	z([ab]*b){2,2}$	no	overlap:a,b	DIVERGES
real	inner	greedy/greedy	z([ab]*b){2,2}$	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	z([ab]*?b){2,2}$	no	overlap:a,b	DIVERGES
real	inner	greedy/lazy	z([ab]*?b){2,2}$	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	z([ab]*?b){2,2}?$	no	overlap:a,b	DIVERGES
real	inner	lazy/lazy	z([ab]*?b){2,2}?$	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	z([ab]*b){2,2}?$	no	overlap:a,b	DIVERGES
real	inner	lazy/greedy	z([ab]*b){2,2}?$	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	([ab]*b){2,2}\b	no	overlap:a,b	DIVERGES
real	inner	greedy/greedy	([ab]*b){2,2}\b	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?b){2,2}\b	no	overlap:a,b	DIVERGES
real	inner	greedy/lazy	([ab]*?b){2,2}\b	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	([ab]*?b){2,2}?\b	no	overlap:a,b	DIVERGES
real	inner	lazy/lazy	([ab]*?b){2,2}?\b	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	([ab]*b){2,2}?\b	no	overlap:a,b	DIVERGES
real	inner	lazy/greedy	([ab]*b){2,2}?\b	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	z([ab]*b){2,2}\b	no	overlap:a,b	DIVERGES
real	inner	greedy/greedy	z([ab]*b){2,2}\b	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	z([ab]*?b){2,2}\b	no	overlap:a,b	DIVERGES
real	inner	greedy/lazy	z([ab]*?b){2,2}\b	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	z([ab]*?b){2,2}?\b	no	overlap:a,b	DIVERGES
real	inner	lazy/lazy	z([ab]*?b){2,2}?\b	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	z([ab]*b){2,2}?\b	no	overlap:a,b	DIVERGES
real	inner	lazy/greedy	z([ab]*b){2,2}?\b	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	([ab]*b)*c	no	ambiguous-body	same
real	inner	greedy/greedy	([ab]*b)*c	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?b)*c	no	ambiguous-body	same
real	inner	greedy/lazy	([ab]*?b)*c	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	([ab]*?b)*?c	no	ambiguous-body	same
real	inner	lazy/lazy	([ab]*?b)*?c	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	([ab]*b)*?c	no	ambiguous-body	same
real	inner	lazy/greedy	([ab]*b)*?c	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	z([ab]*b)*c	no	ambiguous-body	same
real	inner	greedy/greedy	z([ab]*b)*c	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	z([ab]*?b)*c	no	ambiguous-body	same
real	inner	greedy/lazy	z([ab]*?b)*c	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	z([ab]*?b)*?c	no	ambiguous-body	same
real	inner	lazy/lazy	z([ab]*?b)*?c	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	z([ab]*b)*?c	no	ambiguous-body	same
real	inner	lazy/greedy	z([ab]*b)*?c	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	([ab]*b)*	no	ambiguous-body	same
real	inner	greedy/greedy	([ab]*b)*	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?b)*	no	ambiguous-body	same
real	inner	greedy/lazy	([ab]*?b)*	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	([ab]*?b)*?	no	ambiguous-body	DIVERGES
real	inner	lazy/lazy	([ab]*?b)*?	no	overlap:a,b	same
real	outer	lazy/greedy	([ab]*b)*?	no	ambiguous-body	DIVERGES
real	inner	lazy/greedy	([ab]*b)*?	no	overlap:a,b	same
real	outer	greedy/greedy	z([ab]*b)*	no	ambiguous-body	same
real	inner	greedy/greedy	z([ab]*b)*	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	z([ab]*?b)*	no	ambiguous-body	same
real	inner	greedy/lazy	z([ab]*?b)*	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	z([ab]*?b)*?	no	ambiguous-body	DIVERGES
real	inner	lazy/lazy	z([ab]*?b)*?	no	overlap:a,b	same
real	outer	lazy/greedy	z([ab]*b)*?	no	ambiguous-body	DIVERGES
real	inner	lazy/greedy	z([ab]*b)*?	no	overlap:a,b	same
real	outer	greedy/greedy	([ab]*b)*$	no	overlap:a,b	same
real	inner	greedy/greedy	([ab]*b)*$	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?b)*$	no	overlap:a,b	same
real	inner	greedy/lazy	([ab]*?b)*$	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	([ab]*?b)*?$	no	overlap:a,b	same
real	inner	lazy/lazy	([ab]*?b)*?$	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	([ab]*b)*?$	no	overlap:a,b	same
real	inner	lazy/greedy	([ab]*b)*?$	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	z([ab]*b)*$	no	overlap:a,b	same
real	inner	greedy/greedy	z([ab]*b)*$	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	z([ab]*?b)*$	no	overlap:a,b	same
real	inner	greedy/lazy	z([ab]*?b)*$	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	z([ab]*?b)*?$	no	overlap:a,b	same
real	inner	lazy/lazy	z([ab]*?b)*?$	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	z([ab]*b)*?$	no	overlap:a,b	same
real	inner	lazy/greedy	z([ab]*b)*?$	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	([ab]*b)*\b	no	overlap:a,b	DIVERGES
real	inner	greedy/greedy	([ab]*b)*\b	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?b)*\b	no	overlap:a,b	DIVERGES
real	inner	greedy/lazy	([ab]*?b)*\b	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	([ab]*?b)*?\b	no	overlap:a,b	DIVERGES
real	inner	lazy/lazy	([ab]*?b)*?\b	no	overlap:a,b	same
real	outer	lazy/greedy	([ab]*b)*?\b	no	overlap:a,b	DIVERGES
real	inner	lazy/greedy	([ab]*b)*?\b	no	overlap:a,b	same
real	outer	greedy/greedy	z([ab]*b)*\b	no	overlap:a,b	same
real	inner	greedy/greedy	z([ab]*b)*\b	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	z([ab]*?b)*\b	no	overlap:a,b	same
real	inner	greedy/lazy	z([ab]*?b)*\b	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	z([ab]*?b)*?\b	no	overlap:a,b	same
real	inner	lazy/lazy	z([ab]*?b)*?\b	no	overlap:a,b	DIVERGES
real	outer	lazy/greedy	z([ab]*b)*?\b	no	overlap:a,b	same
real	inner	lazy/greedy	z([ab]*b)*?\b	no	overlap:a,b	DIVERGES
real	outer	greedy/greedy	([ab]*\b){0,4}c	no	overlap:c	same
real	inner	greedy/greedy	([ab]*\b){0,4}c	no	overlap:a,b	same
real	outer	greedy/lazy	([ab]*?\b){0,4}c	no	overlap:c	same
real	inner	greedy/lazy	([ab]*?\b){0,4}c	no	overlap:a,b	same
real	outer	lazy/lazy	([ab]*?\b){0,4}?c	no	overlap:c	DIVERGES
real	inner	lazy/lazy	([ab]*?\b){0,4}?c	no	overlap:a,b	same
real	outer	lazy/greedy	([ab]*\b){0,4}?c	no	overlap:c	DIVERGES
real	inner	lazy/greedy	([ab]*\b){0,4}?c	no	overlap:a,b	same
real	outer	greedy/greedy	z([ab]*\b){0,4}c	no	overlap:c	same
real	inner	greedy/greedy	z([ab]*\b){0,4}c	no	overlap:a,b	same
real	outer	greedy/lazy	z([ab]*?\b){0,4}c	no	overlap:c	same
real	inner	greedy/lazy	z([ab]*?\b){0,4}c	no	overlap:a,b	same
real	outer	lazy/lazy	z([ab]*?\b){0,4}?c	no	overlap:c	same
real	inner	lazy/lazy	z([ab]*?\b){0,4}?c	no	overlap:a,b	same
real	outer	lazy/greedy	z([ab]*\b){0,4}?c	no	overlap:c	same
real	inner	lazy/greedy	z([ab]*\b){0,4}?c	no	overlap:a,b	same
real	outer	greedy/greedy	([ab]*\b){0,4}	no	nullable-body	same
real	inner	greedy/greedy	([ab]*\b){0,4}	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?\b){0,4}	no	nullable-body	same
real	inner	greedy/lazy	([ab]*?\b){0,4}	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	([ab]*?\b){0,4}?	no	nullable-body	DIVERGES
real	inner	lazy/lazy	([ab]*?\b){0,4}?	no	overlap:a,b	same
real	outer	lazy/greedy	([ab]*\b){0,4}?	no	nullable-body	DIVERGES
real	inner	lazy/greedy	([ab]*\b){0,4}?	no	overlap:a,b	same
real	outer	greedy/greedy	z([ab]*\b){0,4}	no	nullable-body	same
real	inner	greedy/greedy	z([ab]*\b){0,4}	no	overlap:a,b	same
real	outer	greedy/lazy	z([ab]*?\b){0,4}	no	nullable-body	same
real	inner	greedy/lazy	z([ab]*?\b){0,4}	no	overlap:a,b	same
real	outer	lazy/lazy	z([ab]*?\b){0,4}?	no	nullable-body	DIVERGES
real	inner	lazy/lazy	z([ab]*?\b){0,4}?	no	overlap:a,b	same
real	outer	lazy/greedy	z([ab]*\b){0,4}?	no	nullable-body	DIVERGES
real	inner	lazy/greedy	z([ab]*\b){0,4}?	no	overlap:a,b	same
real	outer	greedy/greedy	([ab]*\b){0,4}$	no	overlap: ,!,",#,$,%	same
real	inner	greedy/greedy	([ab]*\b){0,4}$	no	overlap:a,b	same
real	outer	greedy/lazy	([ab]*?\b){0,4}$	no	overlap: ,!,",#,$,%	DIVERGES
real	inner	greedy/lazy	([ab]*?\b){0,4}$	no	overlap:a,b	same
real	outer	lazy/lazy	([ab]*?\b){0,4}?$	no	overlap: ,!,",#,$,%	DIVERGES
real	inner	lazy/lazy	([ab]*?\b){0,4}?$	no	overlap:a,b	same
real	outer	lazy/greedy	([ab]*\b){0,4}?$	no	overlap: ,!,",#,$,%	DIVERGES
real	inner	lazy/greedy	([ab]*\b){0,4}?$	no	overlap:a,b	same
real	outer	greedy/greedy	z([ab]*\b){0,4}$	no	overlap: ,!,",#,$,%	same
real	inner	greedy/greedy	z([ab]*\b){0,4}$	no	overlap:a,b	same
real	outer	greedy/lazy	z([ab]*?\b){0,4}$	no	overlap: ,!,",#,$,%	same
real	inner	greedy/lazy	z([ab]*?\b){0,4}$	no	overlap:a,b	same
real	outer	lazy/lazy	z([ab]*?\b){0,4}?$	no	overlap: ,!,",#,$,%	DIVERGES
real	inner	lazy/lazy	z([ab]*?\b){0,4}?$	no	overlap:a,b	same
real	outer	lazy/greedy	z([ab]*\b){0,4}?$	no	overlap: ,!,",#,$,%	DIVERGES
real	inner	lazy/greedy	z([ab]*\b){0,4}?$	no	overlap:a,b	same
real	outer	greedy/greedy	([ab]*\b){0,4}\b	no	overlap: ,!,",#,$,%	same
real	inner	greedy/greedy	([ab]*\b){0,4}\b	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?\b){0,4}\b	no	overlap: ,!,",#,$,%	same
real	inner	greedy/lazy	([ab]*?\b){0,4}\b	no	overlap:a,b	DIVERGES
real	outer	lazy/lazy	([ab]*?\b){0,4}?\b	no	overlap: ,!,",#,$,%	DIVERGES
real	inner	lazy/lazy	([ab]*?\b){0,4}?\b	no	overlap:a,b	same
real	outer	lazy/greedy	([ab]*\b){0,4}?\b	no	overlap: ,!,",#,$,%	DIVERGES
real	inner	lazy/greedy	([ab]*\b){0,4}?\b	no	overlap:a,b	same
real	outer	greedy/greedy	z([ab]*\b){0,4}\b	no	overlap: ,!,",#,$,%	same
real	inner	greedy/greedy	z([ab]*\b){0,4}\b	no	overlap:a,b	same
real	outer	greedy/lazy	z([ab]*?\b){0,4}\b	no	overlap: ,!,",#,$,%	same
real	inner	greedy/lazy	z([ab]*?\b){0,4}\b	no	overlap:a,b	same
real	outer	lazy/lazy	z([ab]*?\b){0,4}?\b	no	overlap: ,!,",#,$,%	DIVERGES
real	inner	lazy/lazy	z([ab]*?\b){0,4}?\b	no	overlap:a,b	same
real	outer	lazy/greedy	z([ab]*\b){0,4}?\b	no	overlap: ,!,",#,$,%	DIVERGES
real	inner	lazy/greedy	z([ab]*\b){0,4}?\b	no	overlap:a,b	same
real	outer	greedy/greedy	([ab]*\b){1,3}c	no	overlap:c	same
real	inner	greedy/greedy	([ab]*\b){1,3}c	no	overlap:a,b	same
real	outer	greedy/lazy	([ab]*?\b){1,3}c	no	overlap:c	same
real	inner	greedy/lazy	([ab]*?\b){1,3}c	no	overlap:a,b	same
real	outer	lazy/lazy	([ab]*?\b){1,3}?c	no	overlap:c	same
real	inner	lazy/lazy	([ab]*?\b){1,3}?c	no	overlap:a,b	same
real	outer	lazy/greedy	([ab]*\b){1,3}?c	no	overlap:c	same
real	inner	lazy/greedy	([ab]*\b){1,3}?c	no	overlap:a,b	same
real	outer	greedy/greedy	z([ab]*\b){1,3}c	no	overlap:c	same
real	inner	greedy/greedy	z([ab]*\b){1,3}c	no	overlap:a,b	same
real	outer	greedy/lazy	z([ab]*?\b){1,3}c	no	overlap:c	same
real	inner	greedy/lazy	z([ab]*?\b){1,3}c	no	overlap:a,b	same
real	outer	lazy/lazy	z([ab]*?\b){1,3}?c	no	overlap:c	same
real	inner	lazy/lazy	z([ab]*?\b){1,3}?c	no	overlap:a,b	same
real	outer	lazy/greedy	z([ab]*\b){1,3}?c	no	overlap:c	same
real	inner	lazy/greedy	z([ab]*\b){1,3}?c	no	overlap:a,b	same
real	outer	greedy/greedy	([ab]*\b){1,3}	no	nullable-body	same
real	inner	greedy/greedy	([ab]*\b){1,3}	no	overlap:a,b	DIVERGES
real	outer	greedy/lazy	([ab]*?\b){1,3}	no	nullable-body	same
real	inner	greedy/lazy	([ab]*?\b){1,3}	no	overlap:a,b	DIVERGES
