# ENG-BREP design lane -- archived probe output
#
# probe_rungs.py with --engine=vm forced: what the VM WOULD do with every corpus pattern.
#
date:        2026-08-16T00:52:28Z
repo commit: 19f5c120258729fab816704dfda8848e0ea28780  (branch eng-brep)
gcc:         gcc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
python:      Python 3.14.4
host:        Linux 7.0.0-29-generic, 12 cores
#
# EVIDENCE, NEVER AN ORACLE: no check reads this file.
#
pattern	engine	label	rung	detail
[[:alnum:]]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[[:^ascii:]]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[[:cntrl:]]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[[:graph:]]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[[:print:]]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[[:punct:]]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[[:space:]]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[[:word:]]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
^\N{2,3}$	vm	L2	cursor	span-loop cursor {2,3}, stride 1, greedy
\N{2}	vm	L0	cursor	span-loop cursor {2,2}, stride 1, greedy
(foo)?bar	vm	L0	cursor	span-loop cursor {0,1}, stride 3, greedy
a(b|c)+d	vm	L2	frames-unbounded	frames rung, unbounded {1,}, greedy
(\d+)-(\d+)	vm	L3	cursor	span-loop cursor {1,}, stride 1, greedy
(\d+)-(\d+)	vm	L8	cursor	span-loop cursor {1,}, stride 1, greedy
(a)*b	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
(x)(y)?(z)	vm	L2	cursor	span-loop cursor {0,1}, stride 1, greedy
(ab|a)(c|bcd)(d*)	vm	L17	cursor	span-loop cursor {0,}, stride 1, greedy
(a+)(b+)	vm	L3	cursor	span-loop cursor {1,}, stride 1, greedy
(a+)(b+)	vm	L7	cursor	span-loop cursor {1,}, stride 1, greedy
([a-z]+)	vm	L2	cursor	span-loop cursor {1,}, stride 1, greedy
([^0-9]+)	vm	L2	cursor	span-loop cursor {1,}, stride 1, greedy
(\w+)\s(\w+)	vm	L3	cursor	span-loop cursor {1,}, stride 1, greedy
(\w+)\s(\w+)	vm	L8	cursor	span-loop cursor {1,}, stride 1, greedy
((a)|b){0,64}c	vm	L0	frames-bounded	frames rung, bounded {0,64}, greedy
(a(b)?)	vm	L4	cursor	span-loop cursor {0,1}, stride 1, greedy
(a(b))?x	vm	L0	cursor	span-loop cursor {0,1}, stride 2, greedy
(a(b)*c)?d	vm	L0	frames-bounded	frames rung, bounded {0,1}, greedy
(a(b)*c)?d	vm	L8	cursor	span-loop cursor {0,}, stride 1, greedy
((a)|(b))*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(a*)	vm	L2	cursor	span-loop cursor {0,}, stride 1, greedy
b(a*)b	vm	L4	cursor	span-loop cursor {0,}, stride 1, greedy
(a*)$	vm	L3	cursor	span-loop cursor {0,}, stride 1, greedy
^(a*)	vm	L3	cursor	span-loop cursor {0,}, stride 1, greedy
(a?)(b?)	vm	L3	cursor	span-loop cursor {0,1}, stride 1, greedy
(a?)(b?)	vm	L7	cursor	span-loop cursor {0,1}, stride 1, greedy
(x?)(y?)(z?)	vm	L3	cursor	span-loop cursor {0,1}, stride 1, greedy
(x?)(y?)(z?)	vm	L8	cursor	span-loop cursor {0,1}, stride 1, greedy
(x?)(y?)(z?)	vm	L12	cursor	span-loop cursor {0,1}, stride 1, greedy
a(x?)b	vm	L4	cursor	span-loop cursor {0,1}, stride 1, greedy
(a|ab)(c|bcd)(d*)	vm	L17	cursor	span-loop cursor {0,}, stride 1, greedy
(a+|a)	vm	L4	cursor	span-loop cursor {1,}, stride 1, greedy
(a|a+)	vm	L5	cursor	span-loop cursor {1,}, stride 1, greedy
(a)?a	vm	L0	cursor	span-loop cursor {0,1}, stride 1, greedy
(a*)a	vm	L3	cursor	span-loop cursor {0,}, stride 1, greedy
(a)+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
(ab)+	vm	L0	cursor	span-loop cursor {1,}, stride 2, greedy
(a|b)+	vm	L0	frames-unbounded	frames rung, unbounded {1,}, greedy
(a?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(a?)*	vm	L5	cursor	span-loop cursor {0,1}, stride 1, greedy
(a*)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(a*)*	vm	L5	cursor	span-loop cursor {0,}, stride 1, greedy
(a*)+	vm	L0	frames-unbounded	frames rung, unbounded {1,}, greedy
(a*)+	vm	L3	cursor	span-loop cursor {0,}, stride 1, greedy
(a*)+	vm	L10	cursor	span-loop cursor {0,}, stride 1, greedy
(a){0,3}	vm	L0	cursor	span-loop cursor {0,3}, stride 1, greedy
(a){2,4}	vm	L0	cursor	span-loop cursor {2,4}, stride 1, greedy
(a){2,4}?	vm	L0	cursor	span-loop cursor {2,4}, stride 1, lazy
(ab){1,3}	vm	L0	cursor	span-loop cursor {1,3}, stride 2, greedy
(a|bb)+	vm	L0	frames-unbounded	frames rung, unbounded {1,}, greedy
((a)+)+	vm	L0	frames-unbounded	frames rung, unbounded {1,}, greedy
((a)+)+	vm	L3	cursor	span-loop cursor {1,}, stride 1, greedy
((a)+)+	vm	L10	cursor	span-loop cursor {1,}, stride 1, greedy
(a+)(a+)	vm	L3	cursor	span-loop cursor {1,}, stride 1, greedy
(a+)(a+)	vm	L7	cursor	span-loop cursor {1,}, stride 1, greedy
(a){3}	vm	L0	cursor	span-loop cursor {3,3}, stride 1, greedy
(a+)	vm	L2	cursor	span-loop cursor {1,}, stride 1, greedy
(a+?)	vm	L2	cursor	span-loop cursor {1,}, stride 1, lazy
(a+?)b	vm	L3	cursor	span-loop cursor {1,}, stride 1, lazy
(^a|b)+	vm	L0	frames-unbounded	frames rung, unbounded {1,}, greedy
(a+)$	vm	L3	cursor	span-loop cursor {1,}, stride 1, greedy
(\d+)	vm	L2	cursor	span-loop cursor {1,}, stride 1, greedy
((a)(b))+	vm	L0	cursor	span-loop cursor {1,}, stride 2, greedy
(abc)+	vm	L0	cursor	span-loop cursor {1,}, stride 3, greedy
(\d{2,4})-(\d{2,4})	vm	L3	cursor	span-loop cursor {2,4}, stride 1, greedy
(\d{2,4})-(\d{2,4})	vm	L8	cursor	span-loop cursor {2,4}, stride 1, greedy
(a|B)+	vm	L0	frames-unbounded	frames rung, unbounded {1,}, greedy
a|b+|ab	vm	L3	cursor	span-loop cursor {1,}, stride 1, greedy
ab|b+|a	vm	L3	cursor	span-loop cursor {1,}, stride 1, greedy
abc|x+|abd|a	vm	L3	cursor	span-loop cursor {1,}, stride 1, greedy
(?:foo|foobar)+	vm	L0	frames-unbounded	frames rung, unbounded {1,}, greedy
q|a+|ab	vm	L3	cursor	span-loop cursor {1,}, stride 1, greedy
a{3}	vm	L0	cursor	span-loop cursor {3,3}, stride 1, greedy
a{2,4}	vm	L0	cursor	span-loop cursor {2,4}, stride 1, greedy
a{2,}	vm	L0	cursor	span-loop cursor {2,}, stride 1, greedy
a{0,3}	vm	L0	cursor	span-loop cursor {0,3}, stride 1, greedy
a{2,4}?	vm	L0	cursor	span-loop cursor {2,4}, stride 1, lazy
a{2,}?	vm	L0	cursor	span-loop cursor {2,}, stride 1, lazy
a{1,3}?	vm	L0	cursor	span-loop cursor {1,3}, stride 1, lazy
ab{2,3}c	vm	L2	cursor	span-loop cursor {2,3}, stride 1, greedy
(ab){2,3}	vm	L0	cursor	span-loop cursor {2,3}, stride 2, greedy
x{1,2}y	vm	L0	cursor	span-loop cursor {1,2}, stride 1, greedy
a{ 1}	vm	L0	cursor	span-loop cursor {1,1}, stride 1, greedy
a{1 }	vm	L0	cursor	span-loop cursor {1,1}, stride 1, greedy
a{	1}	vm	L0	cursor	span-loop cursor {1,1}, stride 1, greedy
a{1,  2}	vm	L0	cursor	span-loop cursor {1,2}, stride 1, greedy
a{ 1	,	2 }	vm	L0	cursor	span-loop cursor {1,2}, stride 1, greedy
a{ 2,}	vm	L0	cursor	span-loop cursor {2,}, stride 1, greedy
a{ ,2}	vm	L0	cursor	span-loop cursor {0,2}, stride 1, greedy
a{2,2}	vm	L0	cursor	span-loop cursor {2,2}, stride 1, greedy
(a|b){3,3}c	vm	L0	frames-bounded	frames rung, bounded {3,3}, greedy
[0-9]+-[0-9]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[0-9]+-[0-9]+	vm	L5	cursor	span-loop cursor {1,}, stride 1, greedy
[a-z]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[A-Z]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[a-f0-9]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[^a-z]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[^0-9]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
(cat|DOG)s?	vm	L2	cursor	span-loop cursor {0,1}, stride 1, greedy
[\x80-\xff]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[\k\g]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
.*	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
.+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
a*	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
a?	vm	L0	cursor	span-loop cursor {0,1}, stride 1, greedy
(abc)?	vm	L0	cursor	span-loop cursor {0,1}, stride 3, greedy
a{0,}	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
x*y*	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
x*y*	vm	L2	cursor	span-loop cursor {0,}, stride 1, greedy
^a*$	vm	L2	cursor	span-loop cursor {0,}, stride 1, greedy
a*b$	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
(?:$|[^abc]){2,}	vm	L0	frames-unbounded	frames rung, unbounded {2,}, greedy
.*$	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
a+?$	vm	L0	cursor	span-loop cursor {1,}, stride 1, lazy
x*$	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
[0-9]+z$	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
.*=.*$	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
.*=.*$	vm	L5	cursor	span-loop cursor {0,}, stride 1, greedy
a*b*$	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
a*b*$	vm	L2	cursor	span-loop cursor {0,}, stride 1, greedy
[a-z]*$	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
[^\n]*$	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
b*$	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
a.*$	vm	L2	cursor	span-loop cursor {0,}, stride 1, greedy
[a-z]+@[a-z]+$	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[a-z]+@[a-z]+$	vm	L5	cursor	span-loop cursor {1,}, stride 1, greedy
a*$	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
a.*|b$	vm	L5	cursor	span-loop cursor {0,}, stride 1, greedy
=.*|x$	vm	L5	cursor	span-loop cursor {0,}, stride 1, greedy
a[^\n]*|\n$	vm	L5	cursor	span-loop cursor {0,}, stride 1, greedy
[a-z].*|q$	vm	L5	cursor	span-loop cursor {0,}, stride 1, greedy
a.*|b	vm	L5	cursor	span-loop cursor {0,}, stride 1, greedy
=.*|;	vm	L5	cursor	span-loop cursor {0,}, stride 1, greedy
a(?:$|.)*	vm	L2	frames-unbounded	frames rung, unbounded {0,}, greedy
x(?:$|[^\n])*	vm	L2	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:=|$)(?:.|$)*	vm	L2	frames-unbounded	frames rung, unbounded {0,}, greedy
x$.*	vm	L3	cursor	span-loop cursor {0,}, stride 1, greedy
a$.*	vm	L3	cursor	span-loop cursor {0,}, stride 1, greedy
.*$.*	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
.*$.*	vm	L5	cursor	span-loop cursor {0,}, stride 1, greedy
$[^\n]*	vm	L2	cursor	span-loop cursor {0,}, stride 1, greedy
[a-z]*=	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
.*=	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
x.*y	vm	L2	cursor	span-loop cursor {0,}, stride 1, greedy
[^\n]*=	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
a{,3}	vm	L0	cursor	span-loop cursor {0,3}, stride 1, greedy
a{,3}b	vm	L0	cursor	span-loop cursor {0,3}, stride 1, greedy
(?:ab){,2}c	vm	L0	cursor	span-loop cursor {0,2}, stride 2, greedy
(?:ab)+	vm	L0	cursor	span-loop cursor {1,}, stride 2, greedy
(?:a|b)+	vm	L0	frames-unbounded	frames rung, unbounded {1,}, greedy
(abc)*	vm	L0	cursor	span-loop cursor {0,}, stride 3, greedy
((ab)+c)+	vm	L0	frames-unbounded	frames rung, unbounded {1,}, greedy
((ab)+c)+	vm	L3	cursor	span-loop cursor {1,}, stride 2, greedy
((ab)+c)+	vm	L11	cursor	span-loop cursor {1,}, stride 2, greedy
\xff+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[a\x80-\x9f]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
(?:(?:a|b*?)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:a|b*?)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:a|b*?)?)*	vm	L9	cursor	span-loop cursor {0,}, stride 1, lazy
(?:(?:b*?|a)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:b*?|a)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:b*?|a)?)*	vm	L8	cursor	span-loop cursor {0,}, stride 1, lazy
((?:a|b*?)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
((?:a|b*?)?)*	vm	L5	frames-bounded	frames rung, bounded {0,1}, greedy
((?:a|b*?)?)*	vm	L11	cursor	span-loop cursor {0,}, stride 1, lazy
((?:b*?|a)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
((?:b*?|a)?)*	vm	L5	frames-bounded	frames rung, bounded {0,1}, greedy
((?:b*?|a)?)*	vm	L10	cursor	span-loop cursor {0,}, stride 1, lazy
(?:(a|b*?)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(a|b*?)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(a|b*?)?)*	vm	L11	cursor	span-loop cursor {0,}, stride 1, lazy
(?:(b*?|a)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(b*?|a)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(b*?|a)?)*	vm	L10	cursor	span-loop cursor {0,}, stride 1, lazy
(?:(?:a+|b*?)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:a+|b*?)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:a+|b*?)?)*	vm	L8	cursor	span-loop cursor {1,}, stride 1, greedy
(?:(?:a+|b*?)?)*	vm	L9	cursor	span-loop cursor {0,}, stride 1, lazy
(?:(?:b*?|a+)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:b*?|a+)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:b*?|a+)?)*	vm	L8	cursor	span-loop cursor {0,}, stride 1, lazy
(?:(?:b*?|a+)?)*	vm	L9	cursor	span-loop cursor {1,}, stride 1, greedy
(?:(?:a|b??)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:a|b??)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:a|b??)?)*	vm	L9	cursor	span-loop cursor {0,1}, stride 1, lazy
(?:(?:b??|a)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:b??|a)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:b??|a)?)*	vm	L8	cursor	span-loop cursor {0,1}, stride 1, lazy
(?:(?:a?|b*?)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:a?|b*?)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:a?|b*?)?)*	vm	L8	cursor	span-loop cursor {0,1}, stride 1, greedy
(?:(?:a?|b*?)?)*	vm	L9	cursor	span-loop cursor {0,}, stride 1, lazy
(?:(?:b*?|a?)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:b*?|a?)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:b*?|a?)?)*	vm	L8	cursor	span-loop cursor {0,}, stride 1, lazy
(?:(?:b*?|a?)?)*	vm	L9	cursor	span-loop cursor {0,1}, stride 1, greedy
(?:(?:a|b*?)?)+	vm	L0	frames-unbounded	frames rung, unbounded {1,}, greedy
(?:(?:a|b*?)?)+	vm	L0	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:a|b*?)?)+	vm	L7	cursor	span-loop cursor {0,}, stride 1, lazy
(?:(?:a|b*?)?)+	vm	L11	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:a|b*?)?)+	vm	L18	cursor	span-loop cursor {0,}, stride 1, lazy
(?:(?:b*?|a)?)+	vm	L0	frames-unbounded	frames rung, unbounded {1,}, greedy
(?:(?:b*?|a)?)+	vm	L0	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:b*?|a)?)+	vm	L6	cursor	span-loop cursor {0,}, stride 1, lazy
(?:(?:b*?|a)?)+	vm	L11	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:b*?|a)?)+	vm	L17	cursor	span-loop cursor {0,}, stride 1, lazy
(?:(?:[a]|[b]*?)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:[a]|[b]*?)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:[a]|[b]*?)?)*	vm	L9	cursor	span-loop cursor {0,}, stride 1, lazy
(?:(?:[b]*?|[a])?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:[b]*?|[a])?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:[b]*?|[a])?)*	vm	L8	cursor	span-loop cursor {0,}, stride 1, lazy
(?:(?:a|c|b*?)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:a|c|b*?)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:a|c|b*?)?)*	vm	L10	cursor	span-loop cursor {0,}, stride 1, lazy
(?:(?:b*?|a|c)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:b*?|a|c)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:b*?|a|c)?)*	vm	L8	cursor	span-loop cursor {0,}, stride 1, lazy
^(?:(?:a|b*?)?)*	vm	L2	frames-unbounded	frames rung, unbounded {0,}, greedy
^(?:(?:a|b*?)?)*	vm	L3	frames-bounded	frames rung, bounded {0,1}, greedy
^(?:(?:a|b*?)?)*	vm	L10	cursor	span-loop cursor {0,}, stride 1, lazy
^(?:(?:b*?|a)?)*	vm	L2	frames-unbounded	frames rung, unbounded {0,}, greedy
^(?:(?:b*?|a)?)*	vm	L3	frames-bounded	frames rung, bounded {0,1}, greedy
^(?:(?:b*?|a)?)*	vm	L9	cursor	span-loop cursor {0,}, stride 1, lazy
(?:(?:b*|a)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:b*|a)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:b*|a)?)*	vm	L8	cursor	span-loop cursor {0,}, stride 1, greedy
(?:(?:a|b*)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:a|b*)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:a|b*)?)*	vm	L9	cursor	span-loop cursor {0,}, stride 1, greedy
(?:(?:b?|a)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:b?|a)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:b?|a)?)*	vm	L8	cursor	span-loop cursor {0,1}, stride 1, greedy
(?:(?:a|b?)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:a|b?)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:a|b?)?)*	vm	L9	cursor	span-loop cursor {0,1}, stride 1, greedy
(?:(?:[b]*|a)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:[b]*|a)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:[b]*|a)?)*	vm	L8	cursor	span-loop cursor {0,}, stride 1, greedy
(?:(?:a|[b]*)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:a|[b]*)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:a|[b]*)?)*	vm	L9	cursor	span-loop cursor {0,}, stride 1, greedy
((?:b*|a)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
((?:b*|a)?)*	vm	L5	frames-bounded	frames rung, bounded {0,1}, greedy
((?:b*|a)?)*	vm	L10	cursor	span-loop cursor {0,}, stride 1, greedy
((?:a|b*)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
((?:a|b*)?)*	vm	L5	frames-bounded	frames rung, bounded {0,1}, greedy
((?:a|b*)?)*	vm	L11	cursor	span-loop cursor {0,}, stride 1, greedy
(?:(?:b*|a)?)+	vm	L0	frames-unbounded	frames rung, unbounded {1,}, greedy
(?:(?:b*|a)?)+	vm	L0	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:b*|a)?)+	vm	L6	cursor	span-loop cursor {0,}, stride 1, greedy
(?:(?:b*|a)?)+	vm	L11	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:b*|a)?)+	vm	L17	cursor	span-loop cursor {0,}, stride 1, greedy
(?:(?:a|b*)?)+	vm	L0	frames-unbounded	frames rung, unbounded {1,}, greedy
(?:(?:a|b*)?)+	vm	L0	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:a|b*)?)+	vm	L7	cursor	span-loop cursor {0,}, stride 1, greedy
(?:(?:a|b*)?)+	vm	L11	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:a|b*)?)+	vm	L18	cursor	span-loop cursor {0,}, stride 1, greedy
^(?:(?:b*|a)?)*	vm	L2	frames-unbounded	frames rung, unbounded {0,}, greedy
^(?:(?:b*|a)?)*	vm	L3	frames-bounded	frames rung, bounded {0,1}, greedy
^(?:(?:b*|a)?)*	vm	L9	cursor	span-loop cursor {0,}, stride 1, greedy
^(?:(?:a|b*)?)*	vm	L2	frames-unbounded	frames rung, unbounded {0,}, greedy
^(?:(?:a|b*)?)*	vm	L3	frames-bounded	frames rung, bounded {0,1}, greedy
^(?:(?:a|b*)?)*	vm	L10	cursor	span-loop cursor {0,}, stride 1, greedy
(?:(?:b{0,2}|a)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:b{0,2}|a)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:b{0,2}|a)?)*	vm	L8	cursor	span-loop cursor {0,2}, stride 1, greedy
(?:(?:a|b{0,2})?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:a|b{0,2})?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:a|b{0,2})?)*	vm	L9	cursor	span-loop cursor {0,2}, stride 1, greedy
(?:(?:b{0,2}?|a)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:b{0,2}?|a)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:b{0,2}?|a)?)*	vm	L8	cursor	span-loop cursor {0,2}, stride 1, lazy
(?:(?:a|b{0,2}?)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:a|b{0,2}?)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
(?:(?:a|b{0,2}?)?)*	vm	L9	cursor	span-loop cursor {0,2}, stride 1, lazy
(?:(?:(?:b|)|a)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(?:(?:(?:b|)|a)?)*	vm	L2	frames-bounded	frames rung, bounded {0,1}, greedy
